""	"Year"	"Month"	"DayOfWeek"	"TimeOfDay"	"Status"	"dummy"	"NumberOfFlights"
"74"	2001	"Apr"	"Sun"	"Morning"	"On Time"	0	533
"75"	2001	"Apr"	"Sun"	"Morning"	"Short Delay"	0	71
"76"	2001	"Apr"	"Sun"	"Night"	"Cancelled"	0	11
"77"	2001	"Apr"	"Sun"	"Night"	"Long Delay"	0	57
"78"	2001	"Apr"	"Sun"	"Night"	"Medium Delay"	0	31
"79"	2001	"Apr"	"Sun"	"Night"	"On Time"	0	141
"80"	2001	"Apr"	"Sun"	"Night"	"Short Delay"	0	25
"81"	2001	"Apr"	"Thurs"	"Evening"	"Cancelled"	0	26
"82"	2001	"Apr"	"Thurs"	"Evening"	"Long Delay"	0	160
"83"	2001	"Apr"	"Thurs"	"Evening"	"Medium Delay"	0	230
"84"	2001	"Apr"	"Thurs"	"Evening"	"On Time"	0	615
"85"	2001	"Apr"	"Thurs"	"Evening"	"Short Delay"	0	129
"86"	2001	"Apr"	"Thurs"	"Mid-Day"	"Cancelled"	0	25
"87"	2001	"Apr"	"Thurs"	"Mid-Day"	"Long Delay"	0	97
"88"	2001	"Apr"	"Thurs"	"Mid-Day"	"Medium Delay"	0	197
"89"	2001	"Apr"	"Thurs"	"Mid-Day"	"On Time"	0	739
"90"	2001	"Apr"	"Thurs"	"Mid-Day"	"Short Delay"	0	134
"91"	2001	"Apr"	"Thurs"	"Morning"	"Cancelled"	0	17
"92"	2001	"Apr"	"Thurs"	"Morning"	"Long Delay"	0	36
"93"	2001	"Apr"	"Thurs"	"Morning"	"Medium Delay"	0	68
"94"	2001	"Apr"	"Thurs"	"Morning"	"On Time"	0	492
"95"	2001	"Apr"	"Thurs"	"Morning"	"Short Delay"	0	67
"96"	2001	"Apr"	"Thurs"	"Night"	"Cancelled"	0	9
"97"	2001	"Apr"	"Thurs"	"Night"	"Long Delay"	0	22
"98"	2001	"Apr"	"Thurs"	"Night"	"Medium Delay"	0	38
"99"	2001	"Apr"	"Thurs"	"Night"	"On Time"	0	125
"100"	2001	"Apr"	"Thurs"	"Night"	"Short Delay"	0	14
"101"	2001	"Apr"	"Tues"	"Evening"	"Cancelled"	0	12
"102"	2001	"Apr"	"Tues"	"Evening"	"Long Delay"	0	85
"103"	2001	"Apr"	"Tues"	"Evening"	"Medium Delay"	0	171
"104"	2001	"Apr"	"Tues"	"Evening"	"On Time"	0	785
"105"	2001	"Apr"	"Tues"	"Evening"	"Short Delay"	0	107
"106"	2001	"Apr"	"Tues"	"Mid-Day"	"Cancelled"	0	27
"107"	2001	"Apr"	"Tues"	"Mid-Day"	"Long Delay"	0	50
"108"	2001	"Apr"	"Tues"	"Mid-Day"	"Medium Delay"	0	167
"109"	2001	"Apr"	"Tues"	"Mid-Day"	"On Time"	0	839
"110"	2001	"Apr"	"Tues"	"Mid-Day"	"Short Delay"	0	111
"111"	2001	"Apr"	"Tues"	"Morning"	"Cancelled"	0	17
"112"	2001	"Apr"	"Tues"	"Morning"	"Long Delay"	0	35
"113"	2001	"Apr"	"Tues"	"Morning"	"Medium Delay"	0	82
"114"	2001	"Apr"	"Tues"	"Morning"	"On Time"	0	461
"115"	2001	"Apr"	"Tues"	"Morning"	"Short Delay"	0	85
"116"	2001	"Apr"	"Tues"	"Night"	"Cancelled"	0	1
"117"	2001	"Apr"	"Tues"	"Night"	"Long Delay"	0	21
"118"	2001	"Apr"	"Tues"	"Night"	"Medium Delay"	0	23
"119"	2001	"Apr"	"Tues"	"Night"	"On Time"	0	144
"120"	2001	"Apr"	"Tues"	"Night"	"Short Delay"	0	19
"121"	2001	"Apr"	"Wed"	"Evening"	"Cancelled"	0	33
"122"	2001	"Apr"	"Wed"	"Evening"	"Long Delay"	0	132
"123"	2001	"Apr"	"Wed"	"Evening"	"Medium Delay"	0	193
"124"	2001	"Apr"	"Wed"	"Evening"	"On Time"	0	692
"125"	2001	"Apr"	"Wed"	"Evening"	"Short Delay"	0	110
"126"	2001	"Apr"	"Wed"	"Mid-Day"	"Cancelled"	0	51
"127"	2001	"Apr"	"Wed"	"Mid-Day"	"Long Delay"	0	82
"128"	2001	"Apr"	"Wed"	"Mid-Day"	"Medium Delay"	0	195
"129"	2001	"Apr"	"Wed"	"Mid-Day"	"On Time"	0	751
"130"	2001	"Apr"	"Wed"	"Mid-Day"	"Short Delay"	0	113
"131"	2001	"Apr"	"Wed"	"Morning"	"Cancelled"	0	26
"132"	2001	"Apr"	"Wed"	"Morning"	"Long Delay"	0	40
"133"	2001	"Apr"	"Wed"	"Morning"	"Medium Delay"	0	87
"134"	2001	"Apr"	"Wed"	"Morning"	"On Time"	0	456
"135"	2001	"Apr"	"Wed"	"Morning"	"Short Delay"	0	71
"136"	2001	"Apr"	"Wed"	"Night"	"Cancelled"	0	6
"137"	2001	"Apr"	"Wed"	"Night"	"Long Delay"	0	12
"138"	2001	"Apr"	"Wed"	"Night"	"Medium Delay"	0	30
"139"	2001	"Apr"	"Wed"	"Night"	"On Time"	0	151
"140"	2001	"Apr"	"Wed"	"Night"	"Short Delay"	0	9
"141"	2001	"Aug"	"Fri"	"Evening"	"Cancelled"	0	32
"142"	2001	"Aug"	"Fri"	"Evening"	"Long Delay"	0	165
"143"	2001	"Aug"	"Fri"	"Evening"	"Medium Delay"	0	278
"144"	2001	"Aug"	"Fri"	"Evening"	"On Time"	0	938
"145"	2001	"Aug"	"Fri"	"Evening"	"Short Delay"	0	179
"146"	2001	"Aug"	"Fri"	"Mid-Day"	"Cancelled"	0	32
"147"	2001	"Aug"	"Fri"	"Mid-Day"	"Long Delay"	0	139
"148"	2001	"Aug"	"Fri"	"Mid-Day"	"Medium Delay"	0	315
"149"	2001	"Aug"	"Fri"	"Mid-Day"	"On Time"	0	944
"150"	2001	"Aug"	"Fri"	"Mid-Day"	"Short Delay"	0	236
"151"	2001	"Aug"	"Fri"	"Morning"	"Cancelled"	0	10
"152"	2001	"Aug"	"Fri"	"Morning"	"Long Delay"	0	38
"153"	2001	"Aug"	"Fri"	"Morning"	"Medium Delay"	0	97
"154"	2001	"Aug"	"Fri"	"Morning"	"On Time"	0	650
"155"	2001	"Aug"	"Fri"	"Morning"	"Short Delay"	0	102
"156"	2001	"Aug"	"Fri"	"Night"	"Cancelled"	0	5
"157"	2001	"Aug"	"Fri"	"Night"	"Long Delay"	0	35
"158"	2001	"Aug"	"Fri"	"Night"	"Medium Delay"	0	40
"159"	2001	"Aug"	"Fri"	"Night"	"On Time"	0	154
"160"	2001	"Aug"	"Fri"	"Night"	"Short Delay"	0	18
"161"	2001	"Aug"	"Mon"	"Evening"	"Cancelled"	0	24
"162"	2001	"Aug"	"Mon"	"Evening"	"Long Delay"	0	136
"163"	2001	"Aug"	"Mon"	"Evening"	"Medium Delay"	0	182
"164"	2001	"Aug"	"Mon"	"Evening"	"On Time"	0	809
"165"	2001	"Aug"	"Mon"	"Evening"	"Short Delay"	0	129
"166"	2001	"Aug"	"Mon"	"Mid-Day"	"Cancelled"	0	26
"167"	2001	"Aug"	"Mon"	"Mid-Day"	"Long Delay"	0	77
"168"	2001	"Aug"	"Mon"	"Mid-Day"	"Medium Delay"	0	183
"169"	2001	"Aug"	"Mon"	"Mid-Day"	"On Time"	0	911
"170"	2001	"Aug"	"Mon"	"Mid-Day"	"Short Delay"	0	139
"171"	2001	"Aug"	"Mon"	"Morning"	"Cancelled"	0	5
"172"	2001	"Aug"	"Mon"	"Morning"	"Long Delay"	0	31
"173"	2001	"Aug"	"Mon"	"Morning"	"Medium Delay"	0	67
"174"	2001	"Aug"	"Mon"	"Morning"	"On Time"	0	546
"175"	2001	"Aug"	"Mon"	"Morning"	"Short Delay"	0	70
"176"	2001	"Aug"	"Mon"	"Night"	"Cancelled"	0	2
"177"	2001	"Aug"	"Mon"	"Night"	"Long Delay"	0	27
"178"	2001	"Aug"	"Mon"	"Night"	"Medium Delay"	0	32
"179"	2001	"Aug"	"Mon"	"Night"	"On Time"	0	130
"180"	2001	"Aug"	"Mon"	"Night"	"Short Delay"	0	16
"181"	2001	"Aug"	"Sat"	"Evening"	"Cancelled"	0	17
"182"	2001	"Aug"	"Sat"	"Evening"	"Long Delay"	0	119
"183"	2001	"Aug"	"Sat"	"Evening"	"Medium Delay"	0	205
"184"	2001	"Aug"	"Sat"	"Evening"	"On Time"	0	710
"185"	2001	"Aug"	"Sat"	"Evening"	"Short Delay"	0	113
"186"	2001	"Aug"	"Sat"	"Mid-Day"	"Cancelled"	0	24
"187"	2001	"Aug"	"Sat"	"Mid-Day"	"Long Delay"	0	108
"188"	2001	"Aug"	"Sat"	"Mid-Day"	"Medium Delay"	0	237
"189"	2001	"Aug"	"Sat"	"Mid-Day"	"On Time"	0	738
"190"	2001	"Aug"	"Sat"	"Mid-Day"	"Short Delay"	0	165
"191"	2001	"Aug"	"Sat"	"Morning"	"Cancelled"	0	5
"192"	2001	"Aug"	"Sat"	"Morning"	"Long Delay"	0	40
"193"	2001	"Aug"	"Sat"	"Morning"	"Medium Delay"	0	101
"194"	2001	"Aug"	"Sat"	"Morning"	"On Time"	0	435
"195"	2001	"Aug"	"Sat"	"Morning"	"Short Delay"	0	90
"196"	2001	"Aug"	"Sat"	"Night"	"Cancelled"	0	2
"197"	2001	"Aug"	"Sat"	"Night"	"Long Delay"	0	19
"198"	2001	"Aug"	"Sat"	"Night"	"Medium Delay"	0	23
"199"	2001	"Aug"	"Sat"	"Night"	"On Time"	0	120
"200"	2001	"Aug"	"Sat"	"Night"	"Short Delay"	0	7
"201"	2001	"Aug"	"Sun"	"Evening"	"Cancelled"	0	15
"202"	2001	"Aug"	"Sun"	"Evening"	"Long Delay"	0	133
"203"	2001	"Aug"	"Sun"	"Evening"	"Medium Delay"	0	227
"204"	2001	"Aug"	"Sun"	"Evening"	"On Time"	0	736
"205"	2001	"Aug"	"Sun"	"Evening"	"Short Delay"	0	161
"206"	2001	"Aug"	"Sun"	"Mid-Day"	"Cancelled"	0	8
"207"	2001	"Aug"	"Sun"	"Mid-Day"	"Long Delay"	0	95
"208"	2001	"Aug"	"Sun"	"Mid-Day"	"Medium Delay"	0	190
"209"	2001	"Aug"	"Sun"	"Mid-Day"	"On Time"	0	805
"210"	2001	"Aug"	"Sun"	"Mid-Day"	"Short Delay"	0	174
"211"	2001	"Aug"	"Sun"	"Morning"	"Cancelled"	0	4
"212"	2001	"Aug"	"Sun"	"Morning"	"Long Delay"	0	25
"213"	2001	"Aug"	"Sun"	"Morning"	"Medium Delay"	0	65
"214"	2001	"Aug"	"Sun"	"Morning"	"On Time"	0	479
"215"	2001	"Aug"	"Sun"	"Morning"	"Short Delay"	0	78
"216"	2001	"Aug"	"Sun"	"Night"	"Cancelled"	0	1
"217"	2001	"Aug"	"Sun"	"Night"	"Long Delay"	0	28
"218"	2001	"Aug"	"Sun"	"Night"	"Medium Delay"	0	37
"219"	2001	"Aug"	"Sun"	"Night"	"On Time"	0	115
"220"	2001	"Aug"	"Sun"	"Night"	"Short Delay"	0	30
"221"	2001	"Aug"	"Thurs"	"Evening"	"Cancelled"	0	29
"222"	2001	"Aug"	"Thurs"	"Evening"	"Long Delay"	0	217
"223"	2001	"Aug"	"Thurs"	"Evening"	"Medium Delay"	0	317
"224"	2001	"Aug"	"Thurs"	"Evening"	"On Time"	0	845
"225"	2001	"Aug"	"Thurs"	"Evening"	"Short Delay"	0	190
"226"	2001	"Aug"	"Thurs"	"Mid-Day"	"Cancelled"	0	36
"227"	2001	"Aug"	"Thurs"	"Mid-Day"	"Long Delay"	0	140
"228"	2001	"Aug"	"Thurs"	"Mid-Day"	"Medium Delay"	0	283
"229"	2001	"Aug"	"Thurs"	"Mid-Day"	"On Time"	0	978
"230"	2001	"Aug"	"Thurs"	"Mid-Day"	"Short Delay"	0	228
"231"	2001	"Aug"	"Thurs"	"Morning"	"Cancelled"	0	14
"232"	2001	"Aug"	"Thurs"	"Morning"	"Long Delay"	0	55
"233"	2001	"Aug"	"Thurs"	"Morning"	"Medium Delay"	0	100
"234"	2001	"Aug"	"Thurs"	"Morning"	"On Time"	0	619
"235"	2001	"Aug"	"Thurs"	"Morning"	"Short Delay"	0	111
"236"	2001	"Aug"	"Thurs"	"Night"	"Cancelled"	0	4
"237"	2001	"Aug"	"Thurs"	"Night"	"Long Delay"	0	41
"238"	2001	"Aug"	"Thurs"	"Night"	"Medium Delay"	0	51
"239"	2001	"Aug"	"Thurs"	"Night"	"On Time"	0	137
"240"	2001	"Aug"	"Thurs"	"Night"	"Short Delay"	0	25
"241"	2001	"Aug"	"Tues"	"Evening"	"Cancelled"	0	25
"242"	2001	"Aug"	"Tues"	"Evening"	"Long Delay"	0	121
"243"	2001	"Aug"	"Tues"	"Evening"	"Medium Delay"	0	218
"244"	2001	"Aug"	"Tues"	"Evening"	"On Time"	0	784
"245"	2001	"Aug"	"Tues"	"Evening"	"Short Delay"	0	132
"246"	2001	"Aug"	"Tues"	"Mid-Day"	"Cancelled"	0	29
"247"	2001	"Aug"	"Tues"	"Mid-Day"	"Long Delay"	0	86
"248"	2001	"Aug"	"Tues"	"Mid-Day"	"Medium Delay"	0	200
"249"	2001	"Aug"	"Tues"	"Mid-Day"	"On Time"	0	856
"250"	2001	"Aug"	"Tues"	"Mid-Day"	"Short Delay"	0	165
"251"	2001	"Aug"	"Tues"	"Morning"	"Cancelled"	0	6
"252"	2001	"Aug"	"Tues"	"Morning"	"Long Delay"	0	20
"253"	2001	"Aug"	"Tues"	"Morning"	"Medium Delay"	0	46
"254"	2001	"Aug"	"Tues"	"Morning"	"On Time"	0	568
"255"	2001	"Aug"	"Tues"	"Morning"	"Short Delay"	0	79
"256"	2001	"Aug"	"Tues"	"Night"	"Cancelled"	0	3
"257"	2001	"Aug"	"Tues"	"Night"	"Long Delay"	0	23
"258"	2001	"Aug"	"Tues"	"Night"	"Medium Delay"	0	31
"259"	2001	"Aug"	"Tues"	"Night"	"On Time"	0	134
"260"	2001	"Aug"	"Tues"	"Night"	"Short Delay"	0	16
"261"	2001	"Aug"	"Wed"	"Evening"	"Cancelled"	0	27
"262"	2001	"Aug"	"Wed"	"Evening"	"Long Delay"	0	213
"263"	2001	"Aug"	"Wed"	"Evening"	"Medium Delay"	0	386
"264"	2001	"Aug"	"Wed"	"Evening"	"On Time"	0	802
"265"	2001	"Aug"	"Wed"	"Evening"	"Short Delay"	0	171
"266"	2001	"Aug"	"Wed"	"Mid-Day"	"Cancelled"	0	32
"267"	2001	"Aug"	"Wed"	"Mid-Day"	"Long Delay"	0	232
"268"	2001	"Aug"	"Wed"	"Mid-Day"	"Medium Delay"	0	452
"269"	2001	"Aug"	"Wed"	"Mid-Day"	"On Time"	0	733
"270"	2001	"Aug"	"Wed"	"Mid-Day"	"Short Delay"	0	219
"271"	2001	"Aug"	"Wed"	"Morning"	"Cancelled"	0	22
"272"	2001	"Aug"	"Wed"	"Morning"	"Long Delay"	0	116
"273"	2001	"Aug"	"Wed"	"Morning"	"Medium Delay"	0	130
"274"	2001	"Aug"	"Wed"	"Morning"	"On Time"	0	562
"275"	2001	"Aug"	"Wed"	"Morning"	"Short Delay"	0	66
"276"	2001	"Aug"	"Wed"	"Night"	"Cancelled"	0	4
"277"	2001	"Aug"	"Wed"	"Night"	"Long Delay"	0	30
"278"	2001	"Aug"	"Wed"	"Night"	"Medium Delay"	0	43
"279"	2001	"Aug"	"Wed"	"Night"	"On Time"	0	152
"280"	2001	"Aug"	"Wed"	"Night"	"Short Delay"	0	30
"281"	2001	"Dec"	"Fri"	"Evening"	"Cancelled"	0	4
"282"	2001	"Dec"	"Fri"	"Evening"	"Long Delay"	0	103
