""	"DayOfWeek"	"Status"	"TimeOfDay"	"Years"	"ArrDep"	"Month"	"NumberOfFlights"
"60"	"Fri"	"Cancelled"	"Evening"	"2002-2008"	"Arriving"	"Sept"	79
"61"	"Fri"	"Cancelled"	"Evening"	"2002-2008"	"Departing"	"Apr"	50
"62"	"Fri"	"Cancelled"	"Evening"	"2002-2008"	"Departing"	"Aug"	69
"63"	"Fri"	"Cancelled"	"Evening"	"2002-2008"	"Departing"	"Dec"	88
"64"	"Fri"	"Cancelled"	"Evening"	"2002-2008"	"Departing"	"Feb"	37
"65"	"Fri"	"Cancelled"	"Evening"	"2002-2008"	"Departing"	"Jan"	63
"66"	"Fri"	"Cancelled"	"Evening"	"2002-2008"	"Departing"	"Jul"	69
"67"	"Fri"	"Cancelled"	"Evening"	"2002-2008"	"Departing"	"Jun"	79
"68"	"Fri"	"Cancelled"	"Evening"	"2002-2008"	"Departing"	"Mar"	134
"69"	"Fri"	"Cancelled"	"Evening"	"2002-2008"	"Departing"	"May"	40
"70"	"Fri"	"Cancelled"	"Evening"	"2002-2008"	"Departing"	"Nov"	28
"71"	"Fri"	"Cancelled"	"Evening"	"2002-2008"	"Departing"	"Oct"	39
"72"	"Fri"	"Cancelled"	"Evening"	"2002-2008"	"Departing"	"Sept"	46
"73"	"Fri"	"Cancelled"	"Mid-Day"	"1988-1994"	"Arriving"	"Apr"	35
"74"	"Fri"	"Cancelled"	"Mid-Day"	"1988-1994"	"Arriving"	"Aug"	28
"75"	"Fri"	"Cancelled"	"Mid-Day"	"1988-1994"	"Arriving"	"Dec"	53
"76"	"Fri"	"Cancelled"	"Mid-Day"	"1988-1994"	"Arriving"	"Feb"	83
"77"	"Fri"	"Cancelled"	"Mid-Day"	"1988-1994"	"Arriving"	"Jan"	63
"78"	"Fri"	"Cancelled"	"Mid-Day"	"1988-1994"	"Arriving"	"Jul"	42
"79"	"Fri"	"Cancelled"	"Mid-Day"	"1988-1994"	"Arriving"	"Jun"	10
"80"	"Fri"	"Cancelled"	"Mid-Day"	"1988-1994"	"Arriving"	"Mar"	67
"81"	"Fri"	"Cancelled"	"Mid-Day"	"1988-1994"	"Arriving"	"May"	17
"82"	"Fri"	"Cancelled"	"Mid-Day"	"1988-1994"	"Arriving"	"Nov"	103
"83"	"Fri"	"Cancelled"	"Mid-Day"	"1988-1994"	"Arriving"	"Oct"	30
"84"	"Fri"	"Cancelled"	"Mid-Day"	"1988-1994"	"Arriving"	"Sept"	40
"85"	"Fri"	"Cancelled"	"Mid-Day"	"1988-1994"	"Departing"	"Apr"	30
"86"	"Fri"	"Cancelled"	"Mid-Day"	"1988-1994"	"Departing"	"Aug"	19
"87"	"Fri"	"Cancelled"	"Mid-Day"	"1988-1994"	"Departing"	"Dec"	50
"88"	"Fri"	"Cancelled"	"Mid-Day"	"1988-1994"	"Departing"	"Feb"	102
"89"	"Fri"	"Cancelled"	"Mid-Day"	"1988-1994"	"Departing"	"Jan"	55
"90"	"Fri"	"Cancelled"	"Mid-Day"	"1988-1994"	"Departing"	"Jul"	17
"91"	"Fri"	"Cancelled"	"Mid-Day"	"1988-1994"	"Departing"	"Jun"	12
"92"	"Fri"	"Cancelled"	"Mid-Day"	"1988-1994"	"Departing"	"Mar"	44
"93"	"Fri"	"Cancelled"	"Mid-Day"	"1988-1994"	"Departing"	"May"	15
"94"	"Fri"	"Cancelled"	"Mid-Day"	"1988-1994"	"Departing"	"Nov"	77
"95"	"Fri"	"Cancelled"	"Mid-Day"	"1988-1994"	"Departing"	"Oct"	20
"96"	"Fri"	"Cancelled"	"Mid-Day"	"1988-1994"	"Departing"	"Sept"	18
"97"	"Fri"	"Cancelled"	"Mid-Day"	"1995-2001"	"Arriving"	"Apr"	122
"98"	"Fri"	"Cancelled"	"Mid-Day"	"1995-2001"	"Arriving"	"Aug"	119
"99"	"Fri"	"Cancelled"	"Mid-Day"	"1995-2001"	"Arriving"	"Dec"	195
"100"	"Fri"	"Cancelled"	"Mid-Day"	"1995-2001"	"Arriving"	"Feb"	225
"101"	"Fri"	"Cancelled"	"Mid-Day"	"1995-2001"	"Arriving"	"Jan"	266
"102"	"Fri"	"Cancelled"	"Mid-Day"	"1995-2001"	"Arriving"	"Jul"	84
"103"	"Fri"	"Cancelled"	"Mid-Day"	"1995-2001"	"Arriving"	"Jun"	112
"104"	"Fri"	"Cancelled"	"Mid-Day"	"1995-2001"	"Arriving"	"Mar"	147
"105"	"Fri"	"Cancelled"	"Mid-Day"	"1995-2001"	"Arriving"	"May"	133
"106"	"Fri"	"Cancelled"	"Mid-Day"	"1995-2001"	"Arriving"	"Nov"	123
"107"	"Fri"	"Cancelled"	"Mid-Day"	"1995-2001"	"Arriving"	"Oct"	90
"108"	"Fri"	"Cancelled"	"Mid-Day"	"1995-2001"	"Arriving"	"Sept"	516
"109"	"Fri"	"Cancelled"	"Mid-Day"	"1995-2001"	"Departing"	"Apr"	121
"110"	"Fri"	"Cancelled"	"Mid-Day"	"1995-2001"	"Departing"	"Aug"	102
"111"	"Fri"	"Cancelled"	"Mid-Day"	"1995-2001"	"Departing"	"Dec"	177
"112"	"Fri"	"Cancelled"	"Mid-Day"	"1995-2001"	"Departing"	"Feb"	179
"113"	"Fri"	"Cancelled"	"Mid-Day"	"1995-2001"	"Departing"	"Jan"	226
"114"	"Fri"	"Cancelled"	"Mid-Day"	"1995-2001"	"Departing"	"Jul"	112
"115"	"Fri"	"Cancelled"	"Mid-Day"	"1995-2001"	"Departing"	"Jun"	135
"116"	"Fri"	"Cancelled"	"Mid-Day"	"1995-2001"	"Departing"	"Mar"	107
"117"	"Fri"	"Cancelled"	"Mid-Day"	"1995-2001"	"Departing"	"May"	113
"118"	"Fri"	"Cancelled"	"Mid-Day"	"1995-2001"	"Departing"	"Nov"	126
"119"	"Fri"	"Cancelled"	"Mid-Day"	"1995-2001"	"Departing"	"Oct"	71
"120"	"Fri"	"Cancelled"	"Mid-Day"	"1995-2001"	"Departing"	"Sept"	410
"121"	"Fri"	"Cancelled"	"Mid-Day"	"2002-2008"	"Arriving"	"Apr"	51
"122"	"Fri"	"Cancelled"	"Mid-Day"	"2002-2008"	"Arriving"	"Aug"	76
"123"	"Fri"	"Cancelled"	"Mid-Day"	"2002-2008"	"Arriving"	"Dec"	108
"124"	"Fri"	"Cancelled"	"Mid-Day"	"2002-2008"	"Arriving"	"Feb"	79
"125"	"Fri"	"Cancelled"	"Mid-Day"	"2002-2008"	"Arriving"	"Jan"	66
"126"	"Fri"	"Cancelled"	"Mid-Day"	"2002-2008"	"Arriving"	"Jul"	45
"127"	"Fri"	"Cancelled"	"Mid-Day"	"2002-2008"	"Arriving"	"Jun"	75
"128"	"Fri"	"Cancelled"	"Mid-Day"	"2002-2008"	"Arriving"	"Mar"	132
"129"	"Fri"	"Cancelled"	"Mid-Day"	"2002-2008"	"Arriving"	"May"	43
"130"	"Fri"	"Cancelled"	"Mid-Day"	"2002-2008"	"Arriving"	"Nov"	38
"131"	"Fri"	"Cancelled"	"Mid-Day"	"2002-2008"	"Arriving"	"Oct"	61
"132"	"Fri"	"Cancelled"	"Mid-Day"	"2002-2008"	"Arriving"	"Sept"	63
"133"	"Fri"	"Cancelled"	"Mid-Day"	"2002-2008"	"Departing"	"Apr"	45
"134"	"Fri"	"Cancelled"	"Mid-Day"	"2002-2008"	"Departing"	"Aug"	84
"135"	"Fri"	"Cancelled"	"Mid-Day"	"2002-2008"	"Departing"	"Dec"	107
"136"	"Fri"	"Cancelled"	"Mid-Day"	"2002-2008"	"Departing"	"Feb"	76
"137"	"Fri"	"Cancelled"	"Mid-Day"	"2002-2008"	"Departing"	"Jan"	59
"138"	"Fri"	"Cancelled"	"Mid-Day"	"2002-2008"	"Departing"	"Jul"	60
"139"	"Fri"	"Cancelled"	"Mid-Day"	"2002-2008"	"Departing"	"Jun"	129
"140"	"Fri"	"Cancelled"	"Mid-Day"	"2002-2008"	"Departing"	"Mar"	115
"141"	"Fri"	"Cancelled"	"Mid-Day"	"2002-2008"	"Departing"	"May"	54
"142"	"Fri"	"Cancelled"	"Mid-Day"	"2002-2008"	"Departing"	"Nov"	39
"143"	"Fri"	"Cancelled"	"Mid-Day"	"2002-2008"	"Departing"	"Oct"	59
"144"	"Fri"	"Cancelled"	"Mid-Day"	"2002-2008"	"Departing"	"Sept"	71
"145"	"Fri"	"Cancelled"	"Morning"	"1988-1994"	"Arriving"	"Apr"	20
"146"	"Fri"	"Cancelled"	"Morning"	"1988-1994"	"Arriving"	"Aug"	24
"147"	"Fri"	"Cancelled"	"Morning"	"1988-1994"	"Arriving"	"Dec"	21
"148"	"Fri"	"Cancelled"	"Morning"	"1988-1994"	"Arriving"	"Feb"	46
"149"	"Fri"	"Cancelled"	"Morning"	"1988-1994"	"Arriving"	"Jan"	27
"150"	"Fri"	"Cancelled"	"Morning"	"1988-1994"	"Arriving"	"Jul"	30
"151"	"Fri"	"Cancelled"	"Morning"	"1988-1994"	"Arriving"	"Jun"	6
"152"	"Fri"	"Cancelled"	"Morning"	"1988-1994"	"Arriving"	"Mar"	25
"153"	"Fri"	"Cancelled"	"Morning"	"1988-1994"	"Arriving"	"May"	8
"154"	"Fri"	"Cancelled"	"Morning"	"1988-1994"	"Arriving"	"Nov"	42
"155"	"Fri"	"Cancelled"	"Morning"	"1988-1994"	"Arriving"	"Oct"	15
"156"	"Fri"	"Cancelled"	"Morning"	"1988-1994"	"Arriving"	"Sept"	12
"157"	"Fri"	"Cancelled"	"Morning"	"1988-1994"	"Departing"	"Apr"	23
"158"	"Fri"	"Cancelled"	"Morning"	"1988-1994"	"Departing"	"Aug"	23
"159"	"Fri"	"Cancelled"	"Morning"	"1988-1994"	"Departing"	"Dec"	27
"160"	"Fri"	"Cancelled"	"Morning"	"1988-1994"	"Departing"	"Feb"	50
"161"	"Fri"	"Cancelled"	"Morning"	"1988-1994"	"Departing"	"Jan"	46
"162"	"Fri"	"Cancelled"	"Morning"	"1988-1994"	"Departing"	"Jul"	26
"163"	"Fri"	"Cancelled"	"Morning"	"1988-1994"	"Departing"	"Jun"	11
"164"	"Fri"	"Cancelled"	"Morning"	"1988-1994"	"Departing"	"Mar"	49
"165"	"Fri"	"Cancelled"	"Morning"	"1988-1994"	"Departing"	"May"	14
"166"	"Fri"	"Cancelled"	"Morning"	"1988-1994"	"Departing"	"Nov"	68
"167"	"Fri"	"Cancelled"	"Morning"	"1988-1994"	"Departing"	"Oct"	22
"168"	"Fri"	"Cancelled"	"Morning"	"1988-1994"	"Departing"	"Sept"	22
"169"	"Fri"	"Cancelled"	"Morning"	"1995-2001"	"Arriving"	"Apr"	67
"170"	"Fri"	"Cancelled"	"Morning"	"1995-2001"	"Arriving"	"Aug"	44
"171"	"Fri"	"Cancelled"	"Morning"	"1995-2001"	"Arriving"	"Dec"	63
"172"	"Fri"	"Cancelled"	"Morning"	"1995-2001"	"Arriving"	"Feb"	87
"173"	"Fri"	"Cancelled"	"Morning"	"1995-2001"	"Arriving"	"Jan"	103
"174"	"Fri"	"Cancelled"	"Morning"	"1995-2001"	"Arriving"	"Jul"	45
"175"	"Fri"	"Cancelled"	"Morning"	"1995-2001"	"Arriving"	"Jun"	75
"176"	"Fri"	"Cancelled"	"Morning"	"1995-2001"	"Arriving"	"Mar"	70
"177"	"Fri"	"Cancelled"	"Morning"	"1995-2001"	"Arriving"	"May"	52
"178"	"Fri"	"Cancelled"	"Morning"	"1995-2001"	"Arriving"	"Nov"	59
"179"	"Fri"	"Cancelled"	"Morning"	"1995-2001"	"Arriving"	"Oct"	32
"180"	"Fri"	"Cancelled"	"Morning"	"1995-2001"	"Arriving"	"Sept"	260
"181"	"Fri"	"Cancelled"	"Morning"	"1995-2001"	"Departing"	"Apr"	76
"182"	"Fri"	"Cancelled"	"Morning"	"1995-2001"	"Departing"	"Aug"	69
"183"	"Fri"	"Cancelled"	"Morning"	"1995-2001"	"Departing"	"Dec"	96
"184"	"Fri"	"Cancelled"	"Morning"	"1995-2001"	"Departing"	"Feb"	146
"185"	"Fri"	"Cancelled"	"Morning"	"1995-2001"	"Departing"	"Jan"	167
"186"	"Fri"	"Cancelled"	"Morning"	"1995-2001"	"Departing"	"Jul"	70
"187"	"Fri"	"Cancelled"	"Morning"	"1995-2001"	"Departing"	"Jun"	76
"188"	"Fri"	"Cancelled"	"Morning"	"1995-2001"	"Departing"	"Mar"	74
"189"	"Fri"	"Cancelled"	"Morning"	"1995-2001"	"Departing"	"May"	77
"190"	"Fri"	"Cancelled"	"Morning"	"1995-2001"	"Departing"	"Nov"	83
"191"	"Fri"	"Cancelled"	"Morning"	"1995-2001"	"Departing"	"Oct"	61
"192"	"Fri"	"Cancelled"	"Morning"	"1995-2001"	"Departing"	"Sept"	290
"193"	"Fri"	"Cancelled"	"Morning"	"2002-2008"	"Arriving"	"Apr"	41
"194"	"Fri"	"Cancelled"	"Morning"	"2002-2008"	"Arriving"	"Aug"	49
"195"	"Fri"	"Cancelled"	"Morning"	"2002-2008"	"Arriving"	"Dec"	57
"196"	"Fri"	"Cancelled"	"Morning"	"2002-2008"	"Arriving"	"Feb"	73
"197"	"Fri"	"Cancelled"	"Morning"	"2002-2008"	"Arriving"	"Jan"	20
"198"	"Fri"	"Cancelled"	"Morning"	"2002-2008"	"Arriving"	"Jul"	26
"199"	"Fri"	"Cancelled"	"Morning"	"2002-2008"	"Arriving"	"Jun"	42
"200"	"Fri"	"Cancelled"	"Morning"	"2002-2008"	"Arriving"	"Mar"	64
"201"	"Fri"	"Cancelled"	"Morning"	"2002-2008"	"Arriving"	"May"	20
"202"	"Fri"	"Cancelled"	"Morning"	"2002-2008"	"Arriving"	"Nov"	19
"203"	"Fri"	"Cancelled"	"Morning"	"2002-2008"	"Arriving"	"Oct"	18
"204"	"Fri"	"Cancelled"	"Morning"	"2002-2008"	"Arriving"	"Sept"	32
"205"	"Fri"	"Cancelled"	"Morning"	"2002-2008"	"Departing"	"Apr"	27
"206"	"Fri"	"Cancelled"	"Morning"	"2002-2008"	"Departing"	"Aug"	47
"207"	"Fri"	"Cancelled"	"Morning"	"2002-2008"	"Departing"	"Dec"	54
"208"	"Fri"	"Cancelled"	"Morning"	"2002-2008"	"Departing"	"Feb"	41
"209"	"Fri"	"Cancelled"	"Morning"	"2002-2008"	"Departing"	"Jan"	33
"210"	"Fri"	"Cancelled"	"Morning"	"2002-2008"	"Departing"	"Jul"	39
"211"	"Fri"	"Cancelled"	"Morning"	"2002-2008"	"Departing"	"Jun"	39
"212"	"Fri"	"Cancelled"	"Morning"	"2002-2008"	"Departing"	"Mar"	95
"213"	"Fri"	"Cancelled"	"Morning"	"2002-2008"	"Departing"	"May"	24
"214"	"Fri"	"Cancelled"	"Morning"	"2002-2008"	"Departing"	"Nov"	24
"215"	"Fri"	"Cancelled"	"Morning"	"2002-2008"	"Departing"	"Oct"	16
"216"	"Fri"	"Cancelled"	"Morning"	"2002-2008"	"Departing"	"Sept"	33
"217"	"Fri"	"Cancelled"	"Night"	"1988-1994"	"Arriving"	"Dec"	3
"218"	"Fri"	"Cancelled"	"Night"	"1988-1994"	"Arriving"	"Feb"	5
"219"	"Fri"	"Cancelled"	"Night"	"1988-1994"	"Arriving"	"Jan"	4
"220"	"Fri"	"Cancelled"	"Night"	"1988-1994"	"Arriving"	"Jun"	2
"221"	"Fri"	"Cancelled"	"Night"	"1988-1994"	"Arriving"	"Mar"	4
"222"	"Fri"	"Cancelled"	"Night"	"1988-1994"	"Arriving"	"May"	2
"223"	"Fri"	"Cancelled"	"Night"	"1988-1994"	"Arriving"	"Nov"	13
"224"	"Fri"	"Cancelled"	"Night"	"1988-1994"	"Arriving"	"Oct"	2
"225"	"Fri"	"Cancelled"	"Night"	"1988-1994"	"Arriving"	"Sept"	1
"226"	"Fri"	"Cancelled"	"Night"	"1988-1994"	"Departing"	"Dec"	3
"227"	"Fri"	"Cancelled"	"Night"	"1988-1994"	"Departing"	"Feb"	2
"228"	"Fri"	"Cancelled"	"Night"	"1988-1994"	"Departing"	"Jan"	3
"229"	"Fri"	"Cancelled"	"Night"	"1988-1994"	"Departing"	"Mar"	6
"230"	"Fri"	"Cancelled"	"Night"	"1988-1994"	"Departing"	"Nov"	16
"231"	"Fri"	"Cancelled"	"Night"	"1988-1994"	"Departing"	"Oct"	1
"232"	"Fri"	"Cancelled"	"Night"	"1988-1994"	"Departing"	"Sept"	3
"233"	"Fri"	"Cancelled"	"Night"	"1995-2001"	"Arriving"	"Apr"	12
"234"	"Fri"	"Cancelled"	"Night"	"1995-2001"	"Arriving"	"Aug"	14
"235"	"Fri"	"Cancelled"	"Night"	"1995-2001"	"Arriving"	"Dec"	38
"236"	"Fri"	"Cancelled"	"Night"	"1995-2001"	"Arriving"	"Feb"	23
"237"	"Fri"	"Cancelled"	"Night"	"1995-2001"	"Arriving"	"Jan"	34
"238"	"Fri"	"Cancelled"	"Night"	"1995-2001"	"Arriving"	"Jul"	23
"239"	"Fri"	"Cancelled"	"Night"	"1995-2001"	"Arriving"	"Jun"	32
"240"	"Fri"	"Cancelled"	"Night"	"1995-2001"	"Arriving"	"Mar"	19
"241"	"Fri"	"Cancelled"	"Night"	"1995-2001"	"Arriving"	"May"	13
"242"	"Fri"	"Cancelled"	"Night"	"1995-2001"	"Arriving"	"Nov"	15
"243"	"Fri"	"Cancelled"	"Night"	"1995-2001"	"Arriving"	"Oct"	14
"244"	"Fri"	"Cancelled"	"Night"	"1995-2001"	"Arriving"	"Sept"	43
"245"	"Fri"	"Cancelled"	"Night"	"1995-2001"	"Departing"	"Apr"	10
"246"	"Fri"	"Cancelled"	"Night"	"1995-2001"	"Departing"	"Aug"	26
"247"	"Fri"	"Cancelled"	"Night"	"1995-2001"	"Departing"	"Dec"	33
