""	"DayOfWeek"	"Status"	"TimeOfDay"	"Years"	"ArrDep"	"Month"	"NumberOfFlights"
"3084"	"Sat"	"Cancelled"	"Morning"	"2002-2008"	"Departing"	"Sept"	24
"3085"	"Sat"	"Cancelled"	"Night"	"1988-1994"	"Arriving"	"Dec"	3
"3086"	"Sat"	"Cancelled"	"Night"	"1988-1994"	"Arriving"	"Feb"	2
"3087"	"Sat"	"Cancelled"	"Night"	"1988-1994"	"Arriving"	"Jan"	2
"3088"	"Sat"	"Cancelled"	"Night"	"1988-1994"	"Arriving"	"Jul"	1
"3089"	"Sat"	"Cancelled"	"Night"	"1988-1994"	"Arriving"	"Jun"	1
"3090"	"Sat"	"Cancelled"	"Night"	"1988-1994"	"Arriving"	"Mar"	1
"3091"	"Sat"	"Cancelled"	"Night"	"1988-1994"	"Arriving"	"Nov"	1
"3092"	"Sat"	"Cancelled"	"Night"	"1988-1994"	"Arriving"	"Oct"	1
"3093"	"Sat"	"Cancelled"	"Night"	"1988-1994"	"Departing"	"Aug"	1
"3094"	"Sat"	"Cancelled"	"Night"	"1988-1994"	"Departing"	"Dec"	1
"3095"	"Sat"	"Cancelled"	"Night"	"1988-1994"	"Departing"	"Jul"	6
"3096"	"Sat"	"Cancelled"	"Night"	"1988-1994"	"Departing"	"Jun"	2
"3097"	"Sat"	"Cancelled"	"Night"	"1988-1994"	"Departing"	"Mar"	1
"3098"	"Sat"	"Cancelled"	"Night"	"1988-1994"	"Departing"	"Nov"	1
"3099"	"Sat"	"Cancelled"	"Night"	"1988-1994"	"Departing"	"Oct"	1
"3100"	"Sat"	"Cancelled"	"Night"	"1988-1994"	"Departing"	"Sept"	2
"3101"	"Sat"	"Cancelled"	"Night"	"1995-2001"	"Arriving"	"Apr"	6
"3102"	"Sat"	"Cancelled"	"Night"	"1995-2001"	"Arriving"	"Aug"	17
"3103"	"Sat"	"Cancelled"	"Night"	"1995-2001"	"Arriving"	"Dec"	6
"3104"	"Sat"	"Cancelled"	"Night"	"1995-2001"	"Arriving"	"Feb"	5
"3105"	"Sat"	"Cancelled"	"Night"	"1995-2001"	"Arriving"	"Jan"	18
"3106"	"Sat"	"Cancelled"	"Night"	"1995-2001"	"Arriving"	"Jul"	14
"3107"	"Sat"	"Cancelled"	"Night"	"1995-2001"	"Arriving"	"Jun"	21
"3108"	"Sat"	"Cancelled"	"Night"	"1995-2001"	"Arriving"	"Mar"	14
"3109"	"Sat"	"Cancelled"	"Night"	"1995-2001"	"Arriving"	"May"	5
"3110"	"Sat"	"Cancelled"	"Night"	"1995-2001"	"Arriving"	"Nov"	12
"3111"	"Sat"	"Cancelled"	"Night"	"1995-2001"	"Arriving"	"Oct"	3
"3112"	"Sat"	"Cancelled"	"Night"	"1995-2001"	"Arriving"	"Sept"	19
"3113"	"Sat"	"Cancelled"	"Night"	"1995-2001"	"Departing"	"Apr"	2
"3114"	"Sat"	"Cancelled"	"Night"	"1995-2001"	"Departing"	"Aug"	35
"3115"	"Sat"	"Cancelled"	"Night"	"1995-2001"	"Departing"	"Dec"	13
"3116"	"Sat"	"Cancelled"	"Night"	"1995-2001"	"Departing"	"Feb"	5
"3117"	"Sat"	"Cancelled"	"Night"	"1995-2001"	"Departing"	"Jan"	24
"3118"	"Sat"	"Cancelled"	"Night"	"1995-2001"	"Departing"	"Jul"	6
"3119"	"Sat"	"Cancelled"	"Night"	"1995-2001"	"Departing"	"Jun"	25
"3120"	"Sat"	"Cancelled"	"Night"	"1995-2001"	"Departing"	"Mar"	9
"3121"	"Sat"	"Cancelled"	"Night"	"1995-2001"	"Departing"	"May"	6
"3122"	"Sat"	"Cancelled"	"Night"	"1995-2001"	"Departing"	"Nov"	13
"3123"	"Sat"	"Cancelled"	"Night"	"1995-2001"	"Departing"	"Oct"	5
"3124"	"Sat"	"Cancelled"	"Night"	"1995-2001"	"Departing"	"Sept"	43
"3125"	"Sat"	"Cancelled"	"Night"	"2002-2008"	"Arriving"	"Apr"	1
"3126"	"Sat"	"Cancelled"	"Night"	"2002-2008"	"Arriving"	"Aug"	4
"3127"	"Sat"	"Cancelled"	"Night"	"2002-2008"	"Arriving"	"Dec"	2
"3128"	"Sat"	"Cancelled"	"Night"	"2002-2008"	"Arriving"	"Feb"	9
"3129"	"Sat"	"Cancelled"	"Night"	"2002-2008"	"Arriving"	"Jan"	2
"3130"	"Sat"	"Cancelled"	"Night"	"2002-2008"	"Arriving"	"Jul"	3
"3131"	"Sat"	"Cancelled"	"Night"	"2002-2008"	"Arriving"	"Jun"	4
"3132"	"Sat"	"Cancelled"	"Night"	"2002-2008"	"Arriving"	"Mar"	2
"3133"	"Sat"	"Cancelled"	"Night"	"2002-2008"	"Arriving"	"May"	2
"3134"	"Sat"	"Cancelled"	"Night"	"2002-2008"	"Arriving"	"Nov"	2
"3135"	"Sat"	"Cancelled"	"Night"	"2002-2008"	"Arriving"	"Oct"	2
"3136"	"Sat"	"Cancelled"	"Night"	"2002-2008"	"Arriving"	"Sept"	2
"3137"	"Sat"	"Cancelled"	"Night"	"2002-2008"	"Departing"	"Apr"	4
"3138"	"Sat"	"Cancelled"	"Night"	"2002-2008"	"Departing"	"Aug"	5
"3139"	"Sat"	"Cancelled"	"Night"	"2002-2008"	"Departing"	"Feb"	11
"3140"	"Sat"	"Cancelled"	"Night"	"2002-2008"	"Departing"	"Jan"	5
"3141"	"Sat"	"Cancelled"	"Night"	"2002-2008"	"Departing"	"Jul"	4
"3142"	"Sat"	"Cancelled"	"Night"	"2002-2008"	"Departing"	"Jun"	6
"3143"	"Sat"	"Cancelled"	"Night"	"2002-2008"	"Departing"	"Mar"	3
"3144"	"Sat"	"Cancelled"	"Night"	"2002-2008"	"Departing"	"May"	3
"3145"	"Sat"	"Cancelled"	"Night"	"2002-2008"	"Departing"	"Oct"	1
"3146"	"Sat"	"Cancelled"	"Night"	"2002-2008"	"Departing"	"Sept"	4
"3147"	"Sat"	"Long Delay"	"Evening"	"1988-1994"	"Arriving"	"Apr"	119
"3148"	"Sat"	"Long Delay"	"Evening"	"1988-1994"	"Arriving"	"Aug"	221
"3149"	"Sat"	"Long Delay"	"Evening"	"1988-1994"	"Arriving"	"Dec"	230
"3150"	"Sat"	"Long Delay"	"Evening"	"1988-1994"	"Arriving"	"Feb"	220
"3151"	"Sat"	"Long Delay"	"Evening"	"1988-1994"	"Arriving"	"Jan"	251
"3152"	"Sat"	"Long Delay"	"Evening"	"1988-1994"	"Arriving"	"Jul"	223
"3153"	"Sat"	"Long Delay"	"Evening"	"1988-1994"	"Arriving"	"Jun"	222
"3154"	"Sat"	"Long Delay"	"Evening"	"1988-1994"	"Arriving"	"Mar"	215
"3155"	"Sat"	"Long Delay"	"Evening"	"1988-1994"	"Arriving"	"May"	117
"3156"	"Sat"	"Long Delay"	"Evening"	"1988-1994"	"Arriving"	"Nov"	216
"3157"	"Sat"	"Long Delay"	"Evening"	"1988-1994"	"Arriving"	"Oct"	113
"3158"	"Sat"	"Long Delay"	"Evening"	"1988-1994"	"Arriving"	"Sept"	112
"3159"	"Sat"	"Long Delay"	"Evening"	"1988-1994"	"Departing"	"Apr"	81
"3160"	"Sat"	"Long Delay"	"Evening"	"1988-1994"	"Departing"	"Aug"	183
"3161"	"Sat"	"Long Delay"	"Evening"	"1988-1994"	"Departing"	"Dec"	172
"3162"	"Sat"	"Long Delay"	"Evening"	"1988-1994"	"Departing"	"Feb"	180
"3163"	"Sat"	"Long Delay"	"Evening"	"1988-1994"	"Departing"	"Jan"	226
"3164"	"Sat"	"Long Delay"	"Evening"	"1988-1994"	"Departing"	"Jul"	190
"3165"	"Sat"	"Long Delay"	"Evening"	"1988-1994"	"Departing"	"Jun"	175
"3166"	"Sat"	"Long Delay"	"Evening"	"1988-1994"	"Departing"	"Mar"	170
"3167"	"Sat"	"Long Delay"	"Evening"	"1988-1994"	"Departing"	"May"	70
"3168"	"Sat"	"Long Delay"	"Evening"	"1988-1994"	"Departing"	"Nov"	158
"3169"	"Sat"	"Long Delay"	"Evening"	"1988-1994"	"Departing"	"Oct"	106
"3170"	"Sat"	"Long Delay"	"Evening"	"1988-1994"	"Departing"	"Sept"	97
"3171"	"Sat"	"Long Delay"	"Evening"	"1995-2001"	"Arriving"	"Apr"	351
"3172"	"Sat"	"Long Delay"	"Evening"	"1995-2001"	"Arriving"	"Aug"	413
"3173"	"Sat"	"Long Delay"	"Evening"	"1995-2001"	"Arriving"	"Dec"	433
"3174"	"Sat"	"Long Delay"	"Evening"	"1995-2001"	"Arriving"	"Feb"	304
"3175"	"Sat"	"Long Delay"	"Evening"	"1995-2001"	"Arriving"	"Jan"	351
"3176"	"Sat"	"Long Delay"	"Evening"	"1995-2001"	"Arriving"	"Jul"	474
"3177"	"Sat"	"Long Delay"	"Evening"	"1995-2001"	"Arriving"	"Jun"	594
"3178"	"Sat"	"Long Delay"	"Evening"	"1995-2001"	"Arriving"	"Mar"	292
"3179"	"Sat"	"Long Delay"	"Evening"	"1995-2001"	"Arriving"	"May"	200
"3180"	"Sat"	"Long Delay"	"Evening"	"1995-2001"	"Arriving"	"Nov"	319
"3181"	"Sat"	"Long Delay"	"Evening"	"1995-2001"	"Arriving"	"Oct"	159
"3182"	"Sat"	"Long Delay"	"Evening"	"1995-2001"	"Arriving"	"Sept"	168
"3183"	"Sat"	"Long Delay"	"Evening"	"1995-2001"	"Departing"	"Apr"	367
"3184"	"Sat"	"Long Delay"	"Evening"	"1995-2001"	"Departing"	"Aug"	480
"3185"	"Sat"	"Long Delay"	"Evening"	"1995-2001"	"Departing"	"Dec"	547
"3186"	"Sat"	"Long Delay"	"Evening"	"1995-2001"	"Departing"	"Feb"	385
"3187"	"Sat"	"Long Delay"	"Evening"	"1995-2001"	"Departing"	"Jan"	430
"3188"	"Sat"	"Long Delay"	"Evening"	"1995-2001"	"Departing"	"Jul"	551
"3189"	"Sat"	"Long Delay"	"Evening"	"1995-2001"	"Departing"	"Jun"	727
"3190"	"Sat"	"Long Delay"	"Evening"	"1995-2001"	"Departing"	"Mar"	436
"3191"	"Sat"	"Long Delay"	"Evening"	"1995-2001"	"Departing"	"May"	262
"3192"	"Sat"	"Long Delay"	"Evening"	"1995-2001"	"Departing"	"Nov"	370
"3193"	"Sat"	"Long Delay"	"Evening"	"1995-2001"	"Departing"	"Oct"	197
"3194"	"Sat"	"Long Delay"	"Evening"	"1995-2001"	"Departing"	"Sept"	217
"3195"	"Sat"	"Long Delay"	"Evening"	"2002-2008"	"Arriving"	"Apr"	209
"3196"	"Sat"	"Long Delay"	"Evening"	"2002-2008"	"Arriving"	"Aug"	510
"3197"	"Sat"	"Long Delay"	"Evening"	"2002-2008"	"Arriving"	"Dec"	572
"3198"	"Sat"	"Long Delay"	"Evening"	"2002-2008"	"Arriving"	"Feb"	385
"3199"	"Sat"	"Long Delay"	"Evening"	"2002-2008"	"Arriving"	"Jan"	342
"3200"	"Sat"	"Long Delay"	"Evening"	"2002-2008"	"Arriving"	"Jul"	417
"3201"	"Sat"	"Long Delay"	"Evening"	"2002-2008"	"Arriving"	"Jun"	439
"3202"	"Sat"	"Long Delay"	"Evening"	"2002-2008"	"Arriving"	"Mar"	548
"3203"	"Sat"	"Long Delay"	"Evening"	"2002-2008"	"Arriving"	"May"	225
"3204"	"Sat"	"Long Delay"	"Evening"	"2002-2008"	"Arriving"	"Nov"	199
"3205"	"Sat"	"Long Delay"	"Evening"	"2002-2008"	"Arriving"	"Oct"	200
"3206"	"Sat"	"Long Delay"	"Evening"	"2002-2008"	"Arriving"	"Sept"	216
"3207"	"Sat"	"Long Delay"	"Evening"	"2002-2008"	"Departing"	"Apr"	185
"3208"	"Sat"	"Long Delay"	"Evening"	"2002-2008"	"Departing"	"Aug"	447
"3209"	"Sat"	"Long Delay"	"Evening"	"2002-2008"	"Departing"	"Dec"	411
"3210"	"Sat"	"Long Delay"	"Evening"	"2002-2008"	"Departing"	"Feb"	307
"3211"	"Sat"	"Long Delay"	"Evening"	"2002-2008"	"Departing"	"Jan"	256
"3212"	"Sat"	"Long Delay"	"Evening"	"2002-2008"	"Departing"	"Jul"	396
"3213"	"Sat"	"Long Delay"	"Evening"	"2002-2008"	"Departing"	"Jun"	369
"3214"	"Sat"	"Long Delay"	"Evening"	"2002-2008"	"Departing"	"Mar"	508
"3215"	"Sat"	"Long Delay"	"Evening"	"2002-2008"	"Departing"	"May"	193
"3216"	"Sat"	"Long Delay"	"Evening"	"2002-2008"	"Departing"	"Nov"	134
"3217"	"Sat"	"Long Delay"	"Evening"	"2002-2008"	"Departing"	"Oct"	160
"3218"	"Sat"	"Long Delay"	"Evening"	"2002-2008"	"Departing"	"Sept"	197
"3219"	"Sat"	"Long Delay"	"Mid-Day"	"1988-1994"	"Arriving"	"Apr"	82
"3220"	"Sat"	"Long Delay"	"Mid-Day"	"1988-1994"	"Arriving"	"Aug"	179
"3221"	"Sat"	"Long Delay"	"Mid-Day"	"1988-1994"	"Arriving"	"Dec"	219
"3222"	"Sat"	"Long Delay"	"Mid-Day"	"1988-1994"	"Arriving"	"Feb"	198
"3223"	"Sat"	"Long Delay"	"Mid-Day"	"1988-1994"	"Arriving"	"Jan"	224
"3224"	"Sat"	"Long Delay"	"Mid-Day"	"1988-1994"	"Arriving"	"Jul"	208
"3225"	"Sat"	"Long Delay"	"Mid-Day"	"1988-1994"	"Arriving"	"Jun"	108
"3226"	"Sat"	"Long Delay"	"Mid-Day"	"1988-1994"	"Arriving"	"Mar"	143
"3227"	"Sat"	"Long Delay"	"Mid-Day"	"1988-1994"	"Arriving"	"May"	52
"3228"	"Sat"	"Long Delay"	"Mid-Day"	"1988-1994"	"Arriving"	"Nov"	228
"3229"	"Sat"	"Long Delay"	"Mid-Day"	"1988-1994"	"Arriving"	"Oct"	178
"3230"	"Sat"	"Long Delay"	"Mid-Day"	"1988-1994"	"Arriving"	"Sept"	90
"3231"	"Sat"	"Long Delay"	"Mid-Day"	"1988-1994"	"Departing"	"Apr"	78
"3232"	"Sat"	"Long Delay"	"Mid-Day"	"1988-1994"	"Departing"	"Aug"	172
"3233"	"Sat"	"Long Delay"	"Mid-Day"	"1988-1994"	"Departing"	"Dec"	205
"3234"	"Sat"	"Long Delay"	"Mid-Day"	"1988-1994"	"Departing"	"Feb"	207
"3235"	"Sat"	"Long Delay"	"Mid-Day"	"1988-1994"	"Departing"	"Jan"	211
"3236"	"Sat"	"Long Delay"	"Mid-Day"	"1988-1994"	"Departing"	"Jul"	206
"3237"	"Sat"	"Long Delay"	"Mid-Day"	"1988-1994"	"Departing"	"Jun"	138
"3238"	"Sat"	"Long Delay"	"Mid-Day"	"1988-1994"	"Departing"	"Mar"	199
"3239"	"Sat"	"Long Delay"	"Mid-Day"	"1988-1994"	"Departing"	"May"	61
"3240"	"Sat"	"Long Delay"	"Mid-Day"	"1988-1994"	"Departing"	"Nov"	241
"3241"	"Sat"	"Long Delay"	"Mid-Day"	"1988-1994"	"Departing"	"Oct"	149
"3242"	"Sat"	"Long Delay"	"Mid-Day"	"1988-1994"	"Departing"	"Sept"	91
"3243"	"Sat"	"Long Delay"	"Mid-Day"	"1995-2001"	"Arriving"	"Apr"	247
"3244"	"Sat"	"Long Delay"	"Mid-Day"	"1995-2001"	"Arriving"	"Aug"	349
"3245"	"Sat"	"Long Delay"	"Mid-Day"	"1995-2001"	"Arriving"	"Dec"	423
"3246"	"Sat"	"Long Delay"	"Mid-Day"	"1995-2001"	"Arriving"	"Feb"	289
"3247"	"Sat"	"Long Delay"	"Mid-Day"	"1995-2001"	"Arriving"	"Jan"	268
"3248"	"Sat"	"Long Delay"	"Mid-Day"	"1995-2001"	"Arriving"	"Jul"	369
"3249"	"Sat"	"Long Delay"	"Mid-Day"	"1995-2001"	"Arriving"	"Jun"	360
"3250"	"Sat"	"Long Delay"	"Mid-Day"	"1995-2001"	"Arriving"	"Mar"	262
"3251"	"Sat"	"Long Delay"	"Mid-Day"	"1995-2001"	"Arriving"	"May"	221
"3252"	"Sat"	"Long Delay"	"Mid-Day"	"1995-2001"	"Arriving"	"Nov"	260
"3253"	"Sat"	"Long Delay"	"Mid-Day"	"1995-2001"	"Arriving"	"Oct"	191
"3254"	"Sat"	"Long Delay"	"Mid-Day"	"1995-2001"	"Arriving"	"Sept"	213
"3255"	"Sat"	"Long Delay"	"Mid-Day"	"1995-2001"	"Departing"	"Apr"	329
"3256"	"Sat"	"Long Delay"	"Mid-Day"	"1995-2001"	"Departing"	"Aug"	399
"3257"	"Sat"	"Long Delay"	"Mid-Day"	"1995-2001"	"Departing"	"Dec"	440
"3258"	"Sat"	"Long Delay"	"Mid-Day"	"1995-2001"	"Departing"	"Feb"	327
"3259"	"Sat"	"Long Delay"	"Mid-Day"	"1995-2001"	"Departing"	"Jan"	345
"3260"	"Sat"	"Long Delay"	"Mid-Day"	"1995-2001"	"Departing"	"Jul"	441
"3261"	"Sat"	"Long Delay"	"Mid-Day"	"1995-2001"	"Departing"	"Jun"	434
"3262"	"Sat"	"Long Delay"	"Mid-Day"	"1995-2001"	"Departing"	"Mar"	330
"3263"	"Sat"	"Long Delay"	"Mid-Day"	"1995-2001"	"Departing"	"May"	258
"3264"	"Sat"	"Long Delay"	"Mid-Day"	"1995-2001"	"Departing"	"Nov"	292
"3265"	"Sat"	"Long Delay"	"Mid-Day"	"1995-2001"	"Departing"	"Oct"	216
"3266"	"Sat"	"Long Delay"	"Mid-Day"	"1995-2001"	"Departing"	"Sept"	229
"3267"	"Sat"	"Long Delay"	"Mid-Day"	"2002-2008"	"Arriving"	"Apr"	213
"3268"	"Sat"	"Long Delay"	"Mid-Day"	"2002-2008"	"Arriving"	"Aug"	370
"3269"	"Sat"	"Long Delay"	"Mid-Day"	"2002-2008"	"Arriving"	"Dec"	527
"3270"	"Sat"	"Long Delay"	"Mid-Day"	"2002-2008"	"Arriving"	"Feb"	312
"3271"	"Sat"	"Long Delay"	"Mid-Day"	"2002-2008"	"Arriving"	"Jan"	315
"3272"	"Sat"	"Long Delay"	"Mid-Day"	"2002-2008"	"Arriving"	"Jul"	330
"3273"	"Sat"	"Long Delay"	"Mid-Day"	"2002-2008"	"Arriving"	"Jun"	283
"3274"	"Sat"	"Long Delay"	"Mid-Day"	"2002-2008"	"Arriving"	"Mar"	447
"3275"	"Sat"	"Long Delay"	"Mid-Day"	"2002-2008"	"Arriving"	"May"	211
"3276"	"Sat"	"Long Delay"	"Mid-Day"	"2002-2008"	"Arriving"	"Nov"	176
"3277"	"Sat"	"Long Delay"	"Mid-Day"	"2002-2008"	"Arriving"	"Oct"	256
"3278"	"Sat"	"Long Delay"	"Mid-Day"	"2002-2008"	"Arriving"	"Sept"	253
"3279"	"Sat"	"Long Delay"	"Mid-Day"	"2002-2008"	"Departing"	"Apr"	239
"3280"	"Sat"	"Long Delay"	"Mid-Day"	"2002-2008"	"Departing"	"Aug"	519
"3281"	"Sat"	"Long Delay"	"Mid-Day"	"2002-2008"	"Departing"	"Dec"	541
"3282"	"Sat"	"Long Delay"	"Mid-Day"	"2002-2008"	"Departing"	"Feb"	367
"3283"	"Sat"	"Long Delay"	"Mid-Day"	"2002-2008"	"Departing"	"Jan"	379
"3284"	"Sat"	"Long Delay"	"Mid-Day"	"2002-2008"	"Departing"	"Jul"	533
"3285"	"Sat"	"Long Delay"	"Mid-Day"	"2002-2008"	"Departing"	"Jun"	404
"3286"	"Sat"	"Long Delay"	"Mid-Day"	"2002-2008"	"Departing"	"Mar"	601
"3287"	"Sat"	"Long Delay"	"Mid-Day"	"2002-2008"	"Departing"	"May"	221
"3288"	"Sat"	"Long Delay"	"Mid-Day"	"2002-2008"	"Departing"	"Nov"	249
"3289"	"Sat"	"Long Delay"	"Mid-Day"	"2002-2008"	"Departing"	"Oct"	270
"3290"	"Sat"	"Long Delay"	"Mid-Day"	"2002-2008"	"Departing"	"Sept"	240
"3291"	"Sat"	"Long Delay"	"Morning"	"1988-1994"	"Arriving"	"Apr"	26
"3292"	"Sat"	"Long Delay"	"Morning"	"1988-1994"	"Arriving"	"Aug"	67
"3293"	"Sat"	"Long Delay"	"Morning"	"1988-1994"	"Arriving"	"Dec"	72
"3294"	"Sat"	"Long Delay"	"Morning"	"1988-1994"	"Arriving"	"Feb"	70
"3295"	"Sat"	"Long Delay"	"Morning"	"1988-1994"	"Arriving"	"Jan"	61
"3296"	"Sat"	"Long Delay"	"Morning"	"1988-1994"	"Arriving"	"Jul"	81
"3297"	"Sat"	"Long Delay"	"Morning"	"1988-1994"	"Arriving"	"Jun"	38
"3298"	"Sat"	"Long Delay"	"Morning"	"1988-1994"	"Arriving"	"Mar"	75
"3299"	"Sat"	"Long Delay"	"Morning"	"1988-1994"	"Arriving"	"May"	13
"3300"	"Sat"	"Long Delay"	"Morning"	"1988-1994"	"Arriving"	"Nov"	102
"3301"	"Sat"	"Long Delay"	"Morning"	"1988-1994"	"Arriving"	"Oct"	82
"3302"	"Sat"	"Long Delay"	"Morning"	"1988-1994"	"Arriving"	"Sept"	26
"3303"	"Sat"	"Long Delay"	"Morning"	"1988-1994"	"Departing"	"Apr"	39
"3304"	"Sat"	"Long Delay"	"Morning"	"1988-1994"	"Departing"	"Aug"	87
"3305"	"Sat"	"Long Delay"	"Morning"	"1988-1994"	"Departing"	"Dec"	151
"3306"	"Sat"	"Long Delay"	"Morning"	"1988-1994"	"Departing"	"Feb"	138
"3307"	"Sat"	"Long Delay"	"Morning"	"1988-1994"	"Departing"	"Jan"	98
"3308"	"Sat"	"Long Delay"	"Morning"	"1988-1994"	"Departing"	"Jul"	84
"3309"	"Sat"	"Long Delay"	"Morning"	"1988-1994"	"Departing"	"Jun"	65
"3310"	"Sat"	"Long Delay"	"Morning"	"1988-1994"	"Departing"	"Mar"	161
"3311"	"Sat"	"Long Delay"	"Morning"	"1988-1994"	"Departing"	"May"	34
"3312"	"Sat"	"Long Delay"	"Morning"	"1988-1994"	"Departing"	"Nov"	218
"3313"	"Sat"	"Long Delay"	"Morning"	"1988-1994"	"Departing"	"Oct"	98
"3314"	"Sat"	"Long Delay"	"Morning"	"1988-1994"	"Departing"	"Sept"	58
"3315"	"Sat"	"Long Delay"	"Morning"	"1995-2001"	"Arriving"	"Apr"	82
"3316"	"Sat"	"Long Delay"	"Morning"	"1995-2001"	"Arriving"	"Aug"	97
"3317"	"Sat"	"Long Delay"	"Morning"	"1995-2001"	"Arriving"	"Dec"	113
"3318"	"Sat"	"Long Delay"	"Morning"	"1995-2001"	"Arriving"	"Feb"	116
"3319"	"Sat"	"Long Delay"	"Morning"	"1995-2001"	"Arriving"	"Jan"	109
"3320"	"Sat"	"Long Delay"	"Morning"	"1995-2001"	"Arriving"	"Jul"	104
"3321"	"Sat"	"Long Delay"	"Morning"	"1995-2001"	"Arriving"	"Jun"	104
"3322"	"Sat"	"Long Delay"	"Morning"	"1995-2001"	"Arriving"	"Mar"	73
"3323"	"Sat"	"Long Delay"	"Morning"	"1995-2001"	"Arriving"	"May"	54
"3324"	"Sat"	"Long Delay"	"Morning"	"1995-2001"	"Arriving"	"Nov"	53
"3325"	"Sat"	"Long Delay"	"Morning"	"1995-2001"	"Arriving"	"Oct"	39
"3326"	"Sat"	"Long Delay"	"Morning"	"1995-2001"	"Arriving"	"Sept"	67
"3327"	"Sat"	"Long Delay"	"Morning"	"1995-2001"	"Departing"	"Apr"	155
"3328"	"Sat"	"Long Delay"	"Morning"	"1995-2001"	"Departing"	"Aug"	182
"3329"	"Sat"	"Long Delay"	"Morning"	"1995-2001"	"Departing"	"Dec"	255
"3330"	"Sat"	"Long Delay"	"Morning"	"1995-2001"	"Departing"	"Feb"	241
"3331"	"Sat"	"Long Delay"	"Morning"	"1995-2001"	"Departing"	"Jan"	210
"3332"	"Sat"	"Long Delay"	"Morning"	"1995-2001"	"Departing"	"Jul"	194
"3333"	"Sat"	"Long Delay"	"Morning"	"1995-2001"	"Departing"	"Jun"	208
"3334"	"Sat"	"Long Delay"	"Morning"	"1995-2001"	"Departing"	"Mar"	200
"3335"	"Sat"	"Long Delay"	"Morning"	"1995-2001"	"Departing"	"May"	134
"3336"	"Sat"	"Long Delay"	"Morning"	"1995-2001"	"Departing"	"Nov"	174
"3337"	"Sat"	"Long Delay"	"Morning"	"1995-2001"	"Departing"	"Oct"	103
"3338"	"Sat"	"Long Delay"	"Morning"	"1995-2001"	"Departing"	"Sept"	111
"3339"	"Sat"	"Long Delay"	"Morning"	"2002-2008"	"Arriving"	"Apr"	94
"3340"	"Sat"	"Long Delay"	"Morning"	"2002-2008"	"Arriving"	"Aug"	130
"3341"	"Sat"	"Long Delay"	"Morning"	"2002-2008"	"Arriving"	"Dec"	169
"3342"	"Sat"	"Long Delay"	"Morning"	"2002-2008"	"Arriving"	"Feb"	146
"3343"	"Sat"	"Long Delay"	"Morning"	"2002-2008"	"Arriving"	"Jan"	130
"3344"	"Sat"	"Long Delay"	"Morning"	"2002-2008"	"Arriving"	"Jul"	115
"3345"	"Sat"	"Long Delay"	"Morning"	"2002-2008"	"Arriving"	"Jun"	108
"3346"	"Sat"	"Long Delay"	"Morning"	"2002-2008"	"Arriving"	"Mar"	214
"3347"	"Sat"	"Long Delay"	"Morning"	"2002-2008"	"Arriving"	"May"	98
"3348"	"Sat"	"Long Delay"	"Morning"	"2002-2008"	"Arriving"	"Nov"	66
"3349"	"Sat"	"Long Delay"	"Morning"	"2002-2008"	"Arriving"	"Oct"	67
"3350"	"Sat"	"Long Delay"	"Morning"	"2002-2008"	"Arriving"	"Sept"	65
"3351"	"Sat"	"Long Delay"	"Morning"	"2002-2008"	"Departing"	"Apr"	90
"3352"	"Sat"	"Long Delay"	"Morning"	"2002-2008"	"Departing"	"Aug"	158
"3353"	"Sat"	"Long Delay"	"Morning"	"2002-2008"	"Departing"	"Dec"	160
"3354"	"Sat"	"Long Delay"	"Morning"	"2002-2008"	"Departing"	"Feb"	147
"3355"	"Sat"	"Long Delay"	"Morning"	"2002-2008"	"Departing"	"Jan"	145
"3356"	"Sat"	"Long Delay"	"Morning"	"2002-2008"	"Departing"	"Jul"	171
"3357"	"Sat"	"Long Delay"	"Morning"	"2002-2008"	"Departing"	"Jun"	127
"3358"	"Sat"	"Long Delay"	"Morning"	"2002-2008"	"Departing"	"Mar"	232
"3359"	"Sat"	"Long Delay"	"Morning"	"2002-2008"	"Departing"	"May"	103
"3360"	"Sat"	"Long Delay"	"Morning"	"2002-2008"	"Departing"	"Nov"	71
"3361"	"Sat"	"Long Delay"	"Morning"	"2002-2008"	"Departing"	"Oct"	77
"3362"	"Sat"	"Long Delay"	"Morning"	"2002-2008"	"Departing"	"Sept"	88
"3363"	"Sat"	"Long Delay"	"Night"	"1988-1994"	"Arriving"	"Apr"	2
"3364"	"Sat"	"Long Delay"	"Night"	"1988-1994"	"Arriving"	"Aug"	9
"3365"	"Sat"	"Long Delay"	"Night"	"1988-1994"	"Arriving"	"Dec"	27
"3366"	"Sat"	"Long Delay"	"Night"	"1988-1994"	"Arriving"	"Feb"	12
"3367"	"Sat"	"Long Delay"	"Night"	"1988-1994"	"Arriving"	"Jan"	15
"3368"	"Sat"	"Long Delay"	"Night"	"1988-1994"	"Arriving"	"Jul"	12
"3369"	"Sat"	"Long Delay"	"Night"	"1988-1994"	"Arriving"	"Jun"	13
"3370"	"Sat"	"Long Delay"	"Night"	"1988-1994"	"Arriving"	"Mar"	19
"3371"	"Sat"	"Long Delay"	"Night"	"1988-1994"	"Arriving"	"May"	7
"3372"	"Sat"	"Long Delay"	"Night"	"1988-1994"	"Arriving"	"Nov"	7
"3373"	"Sat"	"Long Delay"	"Night"	"1988-1994"	"Arriving"	"Oct"	5
"3374"	"Sat"	"Long Delay"	"Night"	"1988-1994"	"Arriving"	"Sept"	4
