""	"Month"	"DayOfWeek"	"TimeOfDay"	"Status"	"NumberOfFlights"
"419"	"Dec"	"Wed"	"Night"	"On Time"	454
"420"	"Dec"	"Wed"	"Night"	"Short Delay"	70
"421"	"Feb"	"Fri"	"Evening"	"Cancelled"	144
"422"	"Feb"	"Fri"	"Evening"	"Long Delay"	1184
"423"	"Feb"	"Fri"	"Evening"	"Medium Delay"	2319
"424"	"Feb"	"Fri"	"Evening"	"On Time"	4969
"425"	"Feb"	"Fri"	"Evening"	"Short Delay"	1098
"426"	"Feb"	"Fri"	"Mid-Day"	"Cancelled"	211
"427"	"Feb"	"Fri"	"Mid-Day"	"Long Delay"	969
"428"	"Feb"	"Fri"	"Mid-Day"	"Medium Delay"	2158
"429"	"Feb"	"Fri"	"Mid-Day"	"On Time"	5854
"430"	"Feb"	"Fri"	"Mid-Day"	"Short Delay"	1272
"431"	"Feb"	"Fri"	"Morning"	"Cancelled"	141
"432"	"Feb"	"Fri"	"Morning"	"Long Delay"	431
"433"	"Feb"	"Fri"	"Morning"	"Medium Delay"	982
"434"	"Feb"	"Fri"	"Morning"	"On Time"	3125
"435"	"Feb"	"Fri"	"Morning"	"Short Delay"	632
"436"	"Feb"	"Fri"	"Night"	"Cancelled"	23
"437"	"Feb"	"Fri"	"Night"	"Long Delay"	112
"438"	"Feb"	"Fri"	"Night"	"Medium Delay"	214
"439"	"Feb"	"Fri"	"Night"	"On Time"	456
"440"	"Feb"	"Fri"	"Night"	"Short Delay"	90
"441"	"Feb"	"Mon"	"Evening"	"Cancelled"	279
"442"	"Feb"	"Mon"	"Evening"	"Long Delay"	1195
"443"	"Feb"	"Mon"	"Evening"	"Medium Delay"	1845
"444"	"Feb"	"Mon"	"Evening"	"On Time"	5151
"445"	"Feb"	"Mon"	"Evening"	"Short Delay"	882
"446"	"Feb"	"Mon"	"Mid-Day"	"Cancelled"	347
"447"	"Feb"	"Mon"	"Mid-Day"	"Long Delay"	1107
"448"	"Feb"	"Mon"	"Mid-Day"	"Medium Delay"	2032
"449"	"Feb"	"Mon"	"Mid-Day"	"On Time"	5578
"450"	"Feb"	"Mon"	"Mid-Day"	"Short Delay"	1043
"451"	"Feb"	"Mon"	"Morning"	"Cancelled"	132
"452"	"Feb"	"Mon"	"Morning"	"Long Delay"	436
"453"	"Feb"	"Mon"	"Morning"	"Medium Delay"	875
"454"	"Feb"	"Mon"	"Morning"	"On Time"	3076
"455"	"Feb"	"Mon"	"Morning"	"Short Delay"	580
"456"	"Feb"	"Mon"	"Night"	"Cancelled"	24
"457"	"Feb"	"Mon"	"Night"	"Long Delay"	130
"458"	"Feb"	"Mon"	"Night"	"Medium Delay"	149
"459"	"Feb"	"Mon"	"Night"	"On Time"	477
"460"	"Feb"	"Mon"	"Night"	"Short Delay"	83
"461"	"Feb"	"Sat"	"Evening"	"Cancelled"	212
"462"	"Feb"	"Sat"	"Evening"	"Long Delay"	795
"463"	"Feb"	"Sat"	"Evening"	"Medium Delay"	1205
"464"	"Feb"	"Sat"	"Evening"	"On Time"	4682
"465"	"Feb"	"Sat"	"Evening"	"Short Delay"	666
"466"	"Feb"	"Sat"	"Mid-Day"	"Cancelled"	200
"467"	"Feb"	"Sat"	"Mid-Day"	"Long Delay"	791
"468"	"Feb"	"Sat"	"Mid-Day"	"Medium Delay"	1663
"469"	"Feb"	"Sat"	"Mid-Day"	"On Time"	5142
"470"	"Feb"	"Sat"	"Mid-Day"	"Short Delay"	960
"471"	"Feb"	"Sat"	"Morning"	"Cancelled"	104
"472"	"Feb"	"Sat"	"Morning"	"Long Delay"	384
"473"	"Feb"	"Sat"	"Morning"	"Medium Delay"	875
"474"	"Feb"	"Sat"	"Morning"	"On Time"	2584
"475"	"Feb"	"Sat"	"Morning"	"Short Delay"	549
"476"	"Feb"	"Sat"	"Night"	"Cancelled"	26
"477"	"Feb"	"Sat"	"Night"	"Long Delay"	72
"478"	"Feb"	"Sat"	"Night"	"Medium Delay"	95
"479"	"Feb"	"Sat"	"Night"	"On Time"	369
"480"	"Feb"	"Sat"	"Night"	"Short Delay"	53
"481"	"Feb"	"Sun"	"Evening"	"Cancelled"	252
"482"	"Feb"	"Sun"	"Evening"	"Long Delay"	1484
"483"	"Feb"	"Sun"	"Evening"	"Medium Delay"	2117
"484"	"Feb"	"Sun"	"Evening"	"On Time"	4744
"485"	"Feb"	"Sun"	"Evening"	"Short Delay"	952
"486"	"Feb"	"Sun"	"Mid-Day"	"Cancelled"	299
"487"	"Feb"	"Sun"	"Mid-Day"	"Long Delay"	1032
"488"	"Feb"	"Sun"	"Mid-Day"	"Medium Delay"	1943
"489"	"Feb"	"Sun"	"Mid-Day"	"On Time"	5587
"490"	"Feb"	"Sun"	"Mid-Day"	"Short Delay"	1069
"491"	"Feb"	"Sun"	"Morning"	"Cancelled"	156
"492"	"Feb"	"Sun"	"Morning"	"Long Delay"	337
"493"	"Feb"	"Sun"	"Morning"	"Medium Delay"	650
"494"	"Feb"	"Sun"	"Morning"	"On Time"	2620
"495"	"Feb"	"Sun"	"Morning"	"Short Delay"	411
"496"	"Feb"	"Sun"	"Night"	"Cancelled"	22
"497"	"Feb"	"Sun"	"Night"	"Long Delay"	134
"498"	"Feb"	"Sun"	"Night"	"Medium Delay"	188
"499"	"Feb"	"Sun"	"Night"	"On Time"	468
"500"	"Feb"	"Sun"	"Night"	"Short Delay"	66
"501"	"Feb"	"Thurs"	"Evening"	"Cancelled"	187
"502"	"Feb"	"Thurs"	"Evening"	"Long Delay"	1258
"503"	"Feb"	"Thurs"	"Evening"	"Medium Delay"	2123
"504"	"Feb"	"Thurs"	"Evening"	"On Time"	4772
"505"	"Feb"	"Thurs"	"Evening"	"Short Delay"	1106
"506"	"Feb"	"Thurs"	"Mid-Day"	"Cancelled"	147
"507"	"Feb"	"Thurs"	"Mid-Day"	"Long Delay"	826
"508"	"Feb"	"Thurs"	"Mid-Day"	"Medium Delay"	1962
"509"	"Feb"	"Thurs"	"Mid-Day"	"On Time"	6046
"510"	"Feb"	"Thurs"	"Mid-Day"	"Short Delay"	1143
"511"	"Feb"	"Thurs"	"Morning"	"Cancelled"	100
"512"	"Feb"	"Thurs"	"Morning"	"Long Delay"	331
"513"	"Feb"	"Thurs"	"Morning"	"Medium Delay"	878
"514"	"Feb"	"Thurs"	"Morning"	"On Time"	3204
"515"	"Feb"	"Thurs"	"Morning"	"Short Delay"	601
"516"	"Feb"	"Thurs"	"Night"	"Cancelled"	27
"517"	"Feb"	"Thurs"	"Night"	"Long Delay"	123
"518"	"Feb"	"Thurs"	"Night"	"Medium Delay"	177
"519"	"Feb"	"Thurs"	"Night"	"On Time"	464
"520"	"Feb"	"Thurs"	"Night"	"Short Delay"	80
"521"	"Feb"	"Tues"	"Evening"	"Cancelled"	218
"522"	"Feb"	"Tues"	"Evening"	"Long Delay"	933
"523"	"Feb"	"Tues"	"Evening"	"Medium Delay"	1798
"524"	"Feb"	"Tues"	"Evening"	"On Time"	5449
"525"	"Feb"	"Tues"	"Evening"	"Short Delay"	924
"526"	"Feb"	"Tues"	"Mid-Day"	"Cancelled"	241
"527"	"Feb"	"Tues"	"Mid-Day"	"Long Delay"	768
"528"	"Feb"	"Tues"	"Mid-Day"	"Medium Delay"	1826
"529"	"Feb"	"Tues"	"Mid-Day"	"On Time"	6142
"530"	"Feb"	"Tues"	"Mid-Day"	"Short Delay"	1058
"531"	"Feb"	"Tues"	"Morning"	"Cancelled"	109
"532"	"Feb"	"Tues"	"Morning"	"Long Delay"	356
"533"	"Feb"	"Tues"	"Morning"	"Medium Delay"	786
"534"	"Feb"	"Tues"	"Morning"	"On Time"	3267
"535"	"Feb"	"Tues"	"Morning"	"Short Delay"	521
"536"	"Feb"	"Tues"	"Night"	"Cancelled"	23
"537"	"Feb"	"Tues"	"Night"	"Long Delay"	92
"538"	"Feb"	"Tues"	"Night"	"Medium Delay"	141
"539"	"Feb"	"Tues"	"Night"	"On Time"	518
"540"	"Feb"	"Tues"	"Night"	"Short Delay"	72
"541"	"Feb"	"Wed"	"Evening"	"Cancelled"	289
"542"	"Feb"	"Wed"	"Evening"	"Long Delay"	1106
"543"	"Feb"	"Wed"	"Evening"	"Medium Delay"	2097
"544"	"Feb"	"Wed"	"Evening"	"On Time"	4865
"545"	"Feb"	"Wed"	"Evening"	"Short Delay"	979
"546"	"Feb"	"Wed"	"Mid-Day"	"Cancelled"	352
"547"	"Feb"	"Wed"	"Mid-Day"	"Long Delay"	824
"548"	"Feb"	"Wed"	"Mid-Day"	"Medium Delay"	1874
"549"	"Feb"	"Wed"	"Mid-Day"	"On Time"	5911
"550"	"Feb"	"Wed"	"Mid-Day"	"Short Delay"	1109
"551"	"Feb"	"Wed"	"Morning"	"Cancelled"	123
"552"	"Feb"	"Wed"	"Morning"	"Long Delay"	312
"553"	"Feb"	"Wed"	"Morning"	"Medium Delay"	796
"554"	"Feb"	"Wed"	"Morning"	"On Time"	3259
"555"	"Feb"	"Wed"	"Morning"	"Short Delay"	581
"556"	"Feb"	"Wed"	"Night"	"Cancelled"	28
"557"	"Feb"	"Wed"	"Night"	"Long Delay"	94
"558"	"Feb"	"Wed"	"Night"	"Medium Delay"	135
"559"	"Feb"	"Wed"	"Night"	"On Time"	507
"560"	"Feb"	"Wed"	"Night"	"Short Delay"	80
"561"	"Jan"	"Fri"	"Evening"	"Cancelled"	182
"562"	"Jan"	"Fri"	"Evening"	"Long Delay"	1183
"563"	"Jan"	"Fri"	"Evening"	"Medium Delay"	1956
"564"	"Jan"	"Fri"	"Evening"	"On Time"	5411
"565"	"Jan"	"Fri"	"Evening"	"Short Delay"	984
"566"	"Jan"	"Fri"	"Mid-Day"	"Cancelled"	178
"567"	"Jan"	"Fri"	"Mid-Day"	"Long Delay"	837
"568"	"Jan"	"Fri"	"Mid-Day"	"Medium Delay"	1976
"569"	"Jan"	"Fri"	"Mid-Day"	"On Time"	6531
"570"	"Jan"	"Fri"	"Mid-Day"	"Short Delay"	1166
"571"	"Jan"	"Fri"	"Morning"	"Cancelled"	71
"572"	"Jan"	"Fri"	"Morning"	"Long Delay"	322
"573"	"Jan"	"Fri"	"Morning"	"Medium Delay"	898
"574"	"Jan"	"Fri"	"Morning"	"On Time"	3435
"575"	"Jan"	"Fri"	"Morning"	"Short Delay"	586
"576"	"Jan"	"Fri"	"Night"	"Cancelled"	15
"577"	"Jan"	"Fri"	"Night"	"Long Delay"	89
"578"	"Jan"	"Fri"	"Night"	"Medium Delay"	143
"579"	"Jan"	"Fri"	"Night"	"On Time"	498
"580"	"Jan"	"Fri"	"Night"	"Short Delay"	83
"581"	"Jan"	"Mon"	"Evening"	"Cancelled"	282
"582"	"Jan"	"Mon"	"Evening"	"Long Delay"	1318
"583"	"Jan"	"Mon"	"Evening"	"Medium Delay"	2103
"584"	"Jan"	"Mon"	"Evening"	"On Time"	5502
"585"	"Jan"	"Mon"	"Evening"	"Short Delay"	1023
"586"	"Jan"	"Mon"	"Mid-Day"	"Cancelled"	196
"587"	"Jan"	"Mon"	"Mid-Day"	"Long Delay"	1250
"588"	"Jan"	"Mon"	"Mid-Day"	"Medium Delay"	2302
"589"	"Jan"	"Mon"	"Mid-Day"	"On Time"	6343
"590"	"Jan"	"Mon"	"Mid-Day"	"Short Delay"	1171
"591"	"Jan"	"Mon"	"Morning"	"Cancelled"	109
"592"	"Jan"	"Mon"	"Morning"	"Long Delay"	489
"593"	"Jan"	"Mon"	"Morning"	"Medium Delay"	1052
"594"	"Jan"	"Mon"	"Morning"	"On Time"	3301
"595"	"Jan"	"Mon"	"Morning"	"Short Delay"	643
"596"	"Jan"	"Mon"	"Night"	"Cancelled"	32
"597"	"Jan"	"Mon"	"Night"	"Long Delay"	102
"598"	"Jan"	"Mon"	"Night"	"Medium Delay"	178
"599"	"Jan"	"Mon"	"Night"	"On Time"	515
"600"	"Jan"	"Mon"	"Night"	"Short Delay"	79
"601"	"Jan"	"Sat"	"Evening"	"Cancelled"	182
"602"	"Jan"	"Sat"	"Evening"	"Long Delay"	667
"603"	"Jan"	"Sat"	"Evening"	"Medium Delay"	1281
"604"	"Jan"	"Sat"	"Evening"	"On Time"	5062
"605"	"Jan"	"Sat"	"Evening"	"Short Delay"	676
"606"	"Jan"	"Sat"	"Mid-Day"	"Cancelled"	205
"607"	"Jan"	"Sat"	"Mid-Day"	"Long Delay"	754
"608"	"Jan"	"Sat"	"Mid-Day"	"Medium Delay"	1625
"609"	"Jan"	"Sat"	"Mid-Day"	"On Time"	5721
"610"	"Jan"	"Sat"	"Mid-Day"	"Short Delay"	992
"611"	"Jan"	"Sat"	"Morning"	"Cancelled"	80
"612"	"Jan"	"Sat"	"Morning"	"Long Delay"	299
"613"	"Jan"	"Sat"	"Morning"	"Medium Delay"	818
"614"	"Jan"	"Sat"	"Morning"	"On Time"	2857
"615"	"Jan"	"Sat"	"Morning"	"Short Delay"	568
"616"	"Jan"	"Sat"	"Night"	"Cancelled"	8
"617"	"Jan"	"Sat"	"Night"	"Long Delay"	39
"618"	"Jan"	"Sat"	"Night"	"Medium Delay"	101
"619"	"Jan"	"Sat"	"Night"	"On Time"	361
"620"	"Jan"	"Sat"	"Night"	"Short Delay"	44
"621"	"Jan"	"Sun"	"Evening"	"Cancelled"	162
"622"	"Jan"	"Sun"	"Evening"	"Long Delay"	1056
"623"	"Jan"	"Sun"	"Evening"	"Medium Delay"	1988
"624"	"Jan"	"Sun"	"Evening"	"On Time"	5321
"625"	"Jan"	"Sun"	"Evening"	"Short Delay"	1005
"626"	"Jan"	"Sun"	"Mid-Day"	"Cancelled"	228
"627"	"Jan"	"Sun"	"Mid-Day"	"Long Delay"	826
"628"	"Jan"	"Sun"	"Mid-Day"	"Medium Delay"	1850
"629"	"Jan"	"Sun"	"Mid-Day"	"On Time"	6139
"630"	"Jan"	"Sun"	"Mid-Day"	"Short Delay"	1060
"631"	"Jan"	"Sun"	"Morning"	"Cancelled"	97
"632"	"Jan"	"Sun"	"Morning"	"Long Delay"	272
"633"	"Jan"	"Sun"	"Morning"	"Medium Delay"	595
"634"	"Jan"	"Sun"	"Morning"	"On Time"	2892
"635"	"Jan"	"Sun"	"Morning"	"Short Delay"	410
"636"	"Jan"	"Sun"	"Night"	"Cancelled"	11
"637"	"Jan"	"Sun"	"Night"	"Long Delay"	104
"638"	"Jan"	"Sun"	"Night"	"Medium Delay"	194
"639"	"Jan"	"Sun"	"Night"	"On Time"	448
"640"	"Jan"	"Sun"	"Night"	"Short Delay"	73
"641"	"Jan"	"Thurs"	"Evening"	"Cancelled"	145
"642"	"Jan"	"Thurs"	"Evening"	"Long Delay"	1030
"643"	"Jan"	"Thurs"	"Evening"	"Medium Delay"	2040
"644"	"Jan"	"Thurs"	"Evening"	"On Time"	5992
"645"	"Jan"	"Thurs"	"Evening"	"Short Delay"	1058
"646"	"Jan"	"Thurs"	"Mid-Day"	"Cancelled"	246
"647"	"Jan"	"Thurs"	"Mid-Day"	"Long Delay"	794
"648"	"Jan"	"Thurs"	"Mid-Day"	"Medium Delay"	1958
"649"	"Jan"	"Thurs"	"Mid-Day"	"On Time"	7085
"650"	"Jan"	"Thurs"	"Mid-Day"	"Short Delay"	1199
"651"	"Jan"	"Thurs"	"Morning"	"Cancelled"	100
"652"	"Jan"	"Thurs"	"Morning"	"Long Delay"	359
"653"	"Jan"	"Thurs"	"Morning"	"Medium Delay"	805
"654"	"Jan"	"Thurs"	"Morning"	"On Time"	3671
"655"	"Jan"	"Thurs"	"Morning"	"Short Delay"	626
"656"	"Jan"	"Thurs"	"Night"	"Cancelled"	11
"657"	"Jan"	"Thurs"	"Night"	"Long Delay"	85
"658"	"Jan"	"Thurs"	"Night"	"Medium Delay"	146
"659"	"Jan"	"Thurs"	"Night"	"On Time"	543
"660"	"Jan"	"Thurs"	"Night"	"Short Delay"	70
"661"	"Jan"	"Tues"	"Evening"	"Cancelled"	171
"662"	"Jan"	"Tues"	"Evening"	"Long Delay"	955
"663"	"Jan"	"Tues"	"Evening"	"Medium Delay"	2051
"664"	"Jan"	"Tues"	"Evening"	"On Time"	6306
"665"	"Jan"	"Tues"	"Evening"	"Short Delay"	1041
"666"	"Jan"	"Tues"	"Mid-Day"	"Cancelled"	226
"667"	"Jan"	"Tues"	"Mid-Day"	"Long Delay"	898
"668"	"Jan"	"Tues"	"Mid-Day"	"Medium Delay"	2108
"669"	"Jan"	"Tues"	"Mid-Day"	"On Time"	7082
"670"	"Jan"	"Tues"	"Mid-Day"	"Short Delay"	1192
"671"	"Jan"	"Tues"	"Morning"	"Cancelled"	107
"672"	"Jan"	"Tues"	"Morning"	"Long Delay"	345
"673"	"Jan"	"Tues"	"Morning"	"Medium Delay"	923
"674"	"Jan"	"Tues"	"Morning"	"On Time"	3700
"675"	"Jan"	"Tues"	"Morning"	"Short Delay"	620
"676"	"Jan"	"Tues"	"Night"	"Cancelled"	20
"677"	"Jan"	"Tues"	"Night"	"Long Delay"	89
"678"	"Jan"	"Tues"	"Night"	"Medium Delay"	157
"679"	"Jan"	"Tues"	"Night"	"On Time"	565
"680"	"Jan"	"Tues"	"Night"	"Short Delay"	65
"681"	"Jan"	"Wed"	"Evening"	"Cancelled"	189
"682"	"Jan"	"Wed"	"Evening"	"Long Delay"	979
"683"	"Jan"	"Wed"	"Evening"	"Medium Delay"	2035
"684"	"Jan"	"Wed"	"Evening"	"On Time"	6284
"685"	"Jan"	"Wed"	"Evening"	"Short Delay"	1063
"686"	"Jan"	"Wed"	"Mid-Day"	"Cancelled"	201
"687"	"Jan"	"Wed"	"Mid-Day"	"Long Delay"	862
"688"	"Jan"	"Wed"	"Mid-Day"	"Medium Delay"	2129
"689"	"Jan"	"Wed"	"Mid-Day"	"On Time"	7241
"690"	"Jan"	"Wed"	"Mid-Day"	"Short Delay"	1149
"691"	"Jan"	"Wed"	"Morning"	"Cancelled"	88
"692"	"Jan"	"Wed"	"Morning"	"Long Delay"	337
"693"	"Jan"	"Wed"	"Morning"	"Medium Delay"	902
"694"	"Jan"	"Wed"	"Morning"	"On Time"	3789
"695"	"Jan"	"Wed"	"Morning"	"Short Delay"	585
"696"	"Jan"	"Wed"	"Night"	"Cancelled"	11
"697"	"Jan"	"Wed"	"Night"	"Long Delay"	92
"698"	"Jan"	"Wed"	"Night"	"Medium Delay"	155
"699"	"Jan"	"Wed"	"Night"	"On Time"	570
"700"	"Jan"	"Wed"	"Night"	"Short Delay"	71
"701"	"Jul"	"Fri"	"Evening"	"Cancelled"	173
"702"	"Jul"	"Fri"	"Evening"	"Long Delay"	1405
"703"	"Jul"	"Fri"	"Evening"	"Medium Delay"	2100
"704"	"Jul"	"Fri"	"Evening"	"On Time"	5413
"705"	"Jul"	"Fri"	"Evening"	"Short Delay"	1042
"706"	"Jul"	"Fri"	"Mid-Day"	"Cancelled"	120
"707"	"Jul"	"Fri"	"Mid-Day"	"Long Delay"	941
"708"	"Jul"	"Fri"	"Mid-Day"	"Medium Delay"	2240
"709"	"Jul"	"Fri"	"Mid-Day"	"On Time"	6576
"710"	"Jul"	"Fri"	"Mid-Day"	"Short Delay"	1386
"711"	"Jul"	"Fri"	"Morning"	"Cancelled"	70
"712"	"Jul"	"Fri"	"Morning"	"Long Delay"	351
"713"	"Jul"	"Fri"	"Morning"	"Medium Delay"	700
"714"	"Jul"	"Fri"	"Morning"	"On Time"	4062
"715"	"Jul"	"Fri"	"Morning"	"Short Delay"	583
"716"	"Jul"	"Fri"	"Night"	"Cancelled"	18
"717"	"Jul"	"Fri"	"Night"	"Long Delay"	189
"718"	"Jul"	"Fri"	"Night"	"Medium Delay"	205
"719"	"Jul"	"Fri"	"Night"	"On Time"	563
"720"	"Jul"	"Fri"	"Night"	"Short Delay"	106
"721"	"Jul"	"Mon"	"Evening"	"Cancelled"	133
"722"	"Jul"	"Mon"	"Evening"	"Long Delay"	1704
"723"	"Jul"	"Mon"	"Evening"	"Medium Delay"	2358
"724"	"Jul"	"Mon"	"Evening"	"On Time"	5648
"725"	"Jul"	"Mon"	"Evening"	"Short Delay"	1124
"726"	"Jul"	"Mon"	"Mid-Day"	"Cancelled"	145
"727"	"Jul"	"Mon"	"Mid-Day"	"Long Delay"	1087
"728"	"Jul"	"Mon"	"Mid-Day"	"Medium Delay"	2250
"729"	"Jul"	"Mon"	"Mid-Day"	"On Time"	7003
"730"	"Jul"	"Mon"	"Mid-Day"	"Short Delay"	1470
"731"	"Jul"	"Mon"	"Morning"	"Cancelled"	92
"732"	"Jul"	"Mon"	"Morning"	"Long Delay"	377
"733"	"Jul"	"Mon"	"Morning"	"Medium Delay"	882
"734"	"Jul"	"Mon"	"Morning"	"On Time"	3981
"735"	"Jul"	"Mon"	"Morning"	"Short Delay"	742
"736"	"Jul"	"Mon"	"Night"	"Cancelled"	19
"737"	"Jul"	"Mon"	"Night"	"Long Delay"	205
"738"	"Jul"	"Mon"	"Night"	"Medium Delay"	198
"739"	"Jul"	"Mon"	"Night"	"On Time"	697
"740"	"Jul"	"Mon"	"Night"	"Short Delay"	97
"741"	"Jul"	"Sat"	"Evening"	"Cancelled"	65
"742"	"Jul"	"Sat"	"Evening"	"Long Delay"	896
"743"	"Jul"	"Sat"	"Evening"	"Medium Delay"	1810
"744"	"Jul"	"Sat"	"Evening"	"On Time"	5549
"745"	"Jul"	"Sat"	"Evening"	"Short Delay"	984
"746"	"Jul"	"Sat"	"Mid-Day"	"Cancelled"	70
"747"	"Jul"	"Sat"	"Mid-Day"	"Long Delay"	938
"748"	"Jul"	"Sat"	"Mid-Day"	"Medium Delay"	2128
"749"	"Jul"	"Sat"	"Mid-Day"	"On Time"	6503
"750"	"Jul"	"Sat"	"Mid-Day"	"Short Delay"	1367
"751"	"Jul"	"Sat"	"Morning"	"Cancelled"	65
"752"	"Jul"	"Sat"	"Morning"	"Long Delay"	316
"753"	"Jul"	"Sat"	"Morning"	"Medium Delay"	701
"754"	"Jul"	"Sat"	"Morning"	"On Time"	3803
"755"	"Jul"	"Sat"	"Morning"	"Short Delay"	605
"756"	"Jul"	"Sat"	"Night"	"Cancelled"	10
"757"	"Jul"	"Sat"	"Night"	"Long Delay"	92
"758"	"Jul"	"Sat"	"Night"	"Medium Delay"	147
"759"	"Jul"	"Sat"	"Night"	"On Time"	575
"760"	"Jul"	"Sat"	"Night"	"Short Delay"	81
"761"	"Jul"	"Sun"	"Evening"	"Cancelled"	239
"762"	"Jul"	"Sun"	"Evening"	"Long Delay"	1790
"763"	"Jul"	"Sun"	"Evening"	"Medium Delay"	2279
"764"	"Jul"	"Sun"	"Evening"	"On Time"	5374
"765"	"Jul"	"Sun"	"Evening"	"Short Delay"	1111
"766"	"Jul"	"Sun"	"Mid-Day"	"Cancelled"	169
"767"	"Jul"	"Sun"	"Mid-Day"	"Long Delay"	946
"768"	"Jul"	"Sun"	"Mid-Day"	"Medium Delay"	2195
"769"	"Jul"	"Sun"	"Mid-Day"	"On Time"	6945
"770"	"Jul"	"Sun"	"Mid-Day"	"Short Delay"	1424
"771"	"Jul"	"Sun"	"Morning"	"Cancelled"	64
"772"	"Jul"	"Sun"	"Morning"	"Long Delay"	358
"773"	"Jul"	"Sun"	"Morning"	"Medium Delay"	731
"774"	"Jul"	"Sun"	"Morning"	"On Time"	3678
"775"	"Jul"	"Sun"	"Morning"	"Short Delay"	550
"776"	"Jul"	"Sun"	"Night"	"Cancelled"	32
"777"	"Jul"	"Sun"	"Night"	"Long Delay"	237
"778"	"Jul"	"Sun"	"Night"	"Medium Delay"	256
"779"	"Jul"	"Sun"	"Night"	"On Time"	545
"780"	"Jul"	"Sun"	"Night"	"Short Delay"	121
"781"	"Jul"	"Thurs"	"Evening"	"Cancelled"	142
"782"	"Jul"	"Thurs"	"Evening"	"Long Delay"	1633
"783"	"Jul"	"Thurs"	"Evening"	"Medium Delay"	2363
"784"	"Jul"	"Thurs"	"Evening"	"On Time"	5231
"785"	"Jul"	"Thurs"	"Evening"	"Short Delay"	1167
"786"	"Jul"	"Thurs"	"Mid-Day"	"Cancelled"	117
"787"	"Jul"	"Thurs"	"Mid-Day"	"Long Delay"	1115
"788"	"Jul"	"Thurs"	"Mid-Day"	"Medium Delay"	2423
"789"	"Jul"	"Thurs"	"Mid-Day"	"On Time"	6509
"790"	"Jul"	"Thurs"	"Mid-Day"	"Short Delay"	1457
"791"	"Jul"	"Thurs"	"Morning"	"Cancelled"	71
"792"	"Jul"	"Thurs"	"Morning"	"Long Delay"	312
"793"	"Jul"	"Thurs"	"Morning"	"Medium Delay"	687
"794"	"Jul"	"Thurs"	"Morning"	"On Time"	4247
"795"	"Jul"	"Thurs"	"Morning"	"Short Delay"	638
"796"	"Jul"	"Thurs"	"Night"	"Cancelled"	16
"797"	"Jul"	"Thurs"	"Night"	"Long Delay"	218
"798"	"Jul"	"Thurs"	"Night"	"Medium Delay"	253
"799"	"Jul"	"Thurs"	"Night"	"On Time"	549
"800"	"Jul"	"Thurs"	"Night"	"Short Delay"	106
"801"	"Jul"	"Tues"	"Evening"	"Cancelled"	141
"802"	"Jul"	"Tues"	"Evening"	"Long Delay"	1422
"803"	"Jul"	"Tues"	"Evening"	"Medium Delay"	2348
"804"	"Jul"	"Tues"	"Evening"	"On Time"	6097
"805"	"Jul"	"Tues"	"Evening"	"Short Delay"	1261
"806"	"Jul"	"Tues"	"Mid-Day"	"Cancelled"	154
"807"	"Jul"	"Tues"	"Mid-Day"	"Long Delay"	832
"808"	"Jul"	"Tues"	"Mid-Day"	"Medium Delay"	2164
"809"	"Jul"	"Tues"	"Mid-Day"	"On Time"	7630
"810"	"Jul"	"Tues"	"Mid-Day"	"Short Delay"	1521
"811"	"Jul"	"Tues"	"Morning"	"Cancelled"	68
"812"	"Jul"	"Tues"	"Morning"	"Long Delay"	318
"813"	"Jul"	"Tues"	"Morning"	"Medium Delay"	747
"814"	"Jul"	"Tues"	"Morning"	"On Time"	4504
"815"	"Jul"	"Tues"	"Morning"	"Short Delay"	674
"816"	"Jul"	"Tues"	"Night"	"Cancelled"	19
"817"	"Jul"	"Tues"	"Night"	"Long Delay"	195
"818"	"Jul"	"Tues"	"Night"	"Medium Delay"	227
"819"	"Jul"	"Tues"	"Night"	"On Time"	676
"820"	"Jul"	"Tues"	"Night"	"Short Delay"	119
"821"	"Jul"	"Wed"	"Evening"	"Cancelled"	199
"822"	"Jul"	"Wed"	"Evening"	"Long Delay"	1778
"823"	"Jul"	"Wed"	"Evening"	"Medium Delay"	2275
"824"	"Jul"	"Wed"	"Evening"	"On Time"	5160
"825"	"Jul"	"Wed"	"Evening"	"Short Delay"	1121
"826"	"Jul"	"Wed"	"Mid-Day"	"Cancelled"	183
"827"	"Jul"	"Wed"	"Mid-Day"	"Long Delay"	1392
"828"	"Jul"	"Wed"	"Mid-Day"	"Medium Delay"	2246
"829"	"Jul"	"Wed"	"Mid-Day"	"On Time"	6499
"830"	"Jul"	"Wed"	"Mid-Day"	"Short Delay"	1260
"831"	"Jul"	"Wed"	"Morning"	"Cancelled"	67
"832"	"Jul"	"Wed"	"Morning"	"Long Delay"	438
"833"	"Jul"	"Wed"	"Morning"	"Medium Delay"	830
"834"	"Jul"	"Wed"	"Morning"	"On Time"	3956
"835"	"Jul"	"Wed"	"Morning"	"Short Delay"	646
"836"	"Jul"	"Wed"	"Night"	"Cancelled"	25
"837"	"Jul"	"Wed"	"Night"	"Long Delay"	204
"838"	"Jul"	"Wed"	"Night"	"Medium Delay"	223
"839"	"Jul"	"Wed"	"Night"	"On Time"	560
"840"	"Jul"	"Wed"	"Night"	"Short Delay"	113
"841"	"Jun"	"Fri"	"Evening"	"Cancelled"	276
"842"	"Jun"	"Fri"	"Evening"	"Long Delay"	2088
"843"	"Jun"	"Fri"	"Evening"	"Medium Delay"	2259
